CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
124,Canada,0.6011,0.6126,0.6324,0.6315,0.573,0.5639,0.5647,0.5595,0.5753,0.5433,0.5354,0.5173,0.4964,0.5191,0.5027,0.4974,0.4727,0.4714,0.455,0.4413,0.4152
132,Cape Verde,0.1772,0.1827,0.1985,0.185,0.1847,0.1781,0.2035,0.1945,0.1932,0.1929,0.1955,0.2059,0.2302,0.2262,0.2263,0.2358,0.225,0.2098,0.195,0.1905,0.2066
140,Central African Republic,0.0791,0.0823,0.0927,0.0958,0.0958,0.0894,0.0931,0.0926,0.0895,0.0916,0.0954,0.087,0.0875,0.09,0.0808,0.0789,0.081,0.0809,0.0793,0.0779,0.085
148,Chad,0.0298,0.0131,0.0152,0.0203,0.0192,0.019,0.0191,0.0195,0.0182,0.0194,0.0285,0.025,0.0226,0.0444,0.033,0.0298,0.0302,0.0342,0.0379,0.0334,0.0312
152,Chile,0.3737,0.3263,0.3008,0.2994,0.3105,0.3064,0.326,0.354,0.3524,0.3746,0.3456,0.3005,0.3087,0.2954,0.3037,0.2958,0.295,0.3117,0.3009,0.2872,0.2908
156,China,1.9695,1.8943,1.7302,1.6206,1.5223,1.4903,1.4131,1.2952,1.1512,1.0679,1.011,0.9561,0.9283,1.0337,1.0972,1.0794,1.061,0.9838,0.9298,0.9309,0.9084
344,"China, Hong Kong Special Administrative Region",0.2019,0.1995,0.2173,0.215,0.1814,0.1783,0.1588,0.1587,0.2145,0.228,0.2004,0.187,0.179,0.1884,0.1662,0.1633,0.1451,0.1413,0.1335,0.1313,0.1206
446,"China, Macao Special Administrative Region",0.1304,0.133,0.1165,0.1213,0.1256,0.1178,0.1346,0.1431,0.1566,0.1571,0.1585,0.1589,0.1319,0.118,0.1046,0.1025,0.0796,0.0598,0.0492,0.0528,0.0329
170,Colombia,0.2832,0.2759,0.2853,0.2876,0.2868,0.2405,0.2393,0.2481,0.2508,0.2242,0.2201,0.2103,0.2029,0.2014,0.1834,0.1939,0.1876,0.1769,0.1789,0.1877,0.1928
174,Comoros,0.1456,0.1539,0.1418,0.1376,0.1453,0.1475,0.1218,0.1171,0.1278,0.1392,0.1423,0.1443,0.1448,0.1521,0.1586,0.1625,0.1766,0.1757,0.1798,0.1766,0.1923
