CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
191,Croatia,29.6,26.9,22.8,20.7,19.9,18.8,19.9,19,15.8,,15.3,15.2,14.8,13.9,13.7,13.9,13.7,13.5,13.8,12.8,,
192,Cuba,76.3,65,63,60,60.5,59.3,52.6,55.1,51.7,52.6,49.5,48.6,48.1,46.1,45,42.9,40.6,42.9,49,51,,
196,Cyprus,26.4,23.1,23.6,17.2,15,13.3,11.4,9.7,9.1,8.8,7.5,5.7,5.3,4.9,5.9,4.9,4.7,3.8,4.8,4.2,,
203,Czech Republic,,48.6,46.5,44,32.7,24.4,19.2,17.1,15.8,14.9,13,11.5,11.6,11.4,11.3,10.9,10.8,11,11.2,11.3,10.7,10.1
180,Democratic Republic of the Congo,,,125,,,,,,,,,117,,,,126.8,,,,135,,
208,Denmark,9.2,9.2,9.9,9.2,9.3,8.8,8.2,,8.1,8,,10.3,6.5,6,5.6,5.6,5.9,5.6,5.9,5.5,5,4.5
262,Djibouti,47,30.9,,,,33,,,,,27,,,,,,,,,,,
212,Dominica,113.8,101.6,88,,,54,,,55.8,60.3,51.6,46.9,45.6,48.3,,42.6,48.2,,,,,
214,Dominican Republic,,,,,114.5,,,100.8,,,115.2,,86.4,,,98,,,,,,
218,Ecuador,101,,91,,,,,89,,,,92,99.6,,,,,,,,,
818,Egypt,68.8,,,66.9,,,,,53.4,,,,,48,,,49.5,,,,,
222,El Salvador,102.2,104.9,104.1,109.4,115,113.4,117.8,115.2,110.4,104.3,,89.1,81.1,76.2,,69.8,64.5,64.8,,,,
226,Equatorial Guinea,,,,,113,,,,,,195.6,128,,,,,,,,,,
232,Eritrea,,,,115.9,,,,,,,85.2,,,,,,,,,,,
233,Estonia,49.3,47.6,50.2,43.6,39.7,37.6,34.8,30.7,,,26.1,24.1,21.9,20.6,,21.2,21.9,24.6,23.8,21.2,17.5,16.1
231,Ethiopia,95,,,,98.9,,,,109.6,,,,,109.1,,,,,,79,,
234,Faeroe Islands,54.7,28.2,33,34.1,31.1,22.2,16.5,18.9,24.4,17.1,18.3,13.6,15.2,16.3,15.5,11.1,10.6,11.3,,,,
238,Falkland Islands (Malvinas),,62.5,50.6,,,,,,,,,,,,,,,,,,,
242,Fiji,58.6,56.6,57,56,51.5,52.2,47.6,40.5,37.8,40.8,,,34.8,,31.1,,,,,,,
246,Finland,12.4,12.3,11.9,10.7,10.2,9.8,9.6,8.9,9.1,,,10.6,11.2,10.3,10.6,10.3,9.5,9.2,8.7,8.4,8.4,7.6
250,France,9.1,9,8.5,7.9,7.1,7,7.1,7.1,7.2,7.7,8.1,11.4,7.9,7.7,7.9,7.8,7.6,10.4,10.5,11.9,,
254,French Guiana,,,,,,,103.2,,113,126.7,124.8,114.9,110.4,103.6,84.4,86.5,86.7,83.5,,,,
258,French Polynesia,62.6,61,58.1,60.5,49.2,48.7,47.8,50.8,47.1,50.2,51.1,49.4,49,44.5,41.5,42.1,42.9,41,40.8,41,41,
266,Gabon,,,,162,,,,,144.4,,,,,,,,,,,,114,
270,Gambia,,,,167.3,,,,,,,103.9,,,,,,,,,,118,
268,Georgia,58.1,,,,,64.2,59.7,55.2,51.4,46.5,39.9,32.5,32.8,33.2,35.1,38.5,36.7,36.3,43.8,,,43
276,Germany,,13,12.1,10.8,9.8,9.4,9.6,9.7,,,,12.8,11.9,11.1,10.5,10.3,10,10,9.9,9.2,9,8.2
288,Ghana,,118.7,,,,,90.3,,,,56.1,73.8,,,,,69.7,,,,,
292,Gibraltar,,,,,,32.9,21.8,20.9,,,,24.2,26.9,,,,,,,,,
300,Greece,19.8,18,17,14.7,13.6,12.3,11.5,11.4,11.1,,,10.9,10.6,10.8,,10.3,11.2,11.1,12.1,11.8,,9.9
304,Greenland,74,87.2,93.1,93.5,80.6,71.3,76.7,50.7,47.2,40.1,58.9,59.2,47.1,44.7,55.4,63.4,53.8,53.3,51.4,60.6,50.9,
308,Grenada,99.2,101.9,90.1,83.4,,,,69.9,54.3,52.8,53.1,,,,,,,,,,,
312,Guadeloupe,,34.8,,,,,,,,31.1,32.9,31.5,26.3,27.7,20.5,,,,,,,
316,Guam,93.2,95.4,107.6,,,,,,,76.2,,56.5,53.7,53.4,51.5,,,,,,,
320,Guatemala,119.7,120.4,118.5,120,122.2,119.1,121.3,120.1,150,107.1,119.8,,,99.8,99.6,,92.1,,,,,
324,Guinea,,,,,,,158,172,,,,,,152.6,,,,,,,146,
624,Guinea-Bissau,,,,,,,,,,,170,,,,,,,,,136.7,,
328,Guyana,95.5,83,,,,,,,,,81.6,,84.1,90,,,,97,,,,
332,Haiti,,,78.6,,,,,,79.8,,,,,,68.6,,,,,,66,
340,Honduras,,,,,136,,,,,137,,,,,107.9,,,,,,,
348,Hungary,39.5,39.3,37.3,35.7,34.8,31.4,28.8,26.7,25.1,23,23,22,21.5,20.7,20.8,20,19.7,19.3,19.9,19.3,17.8,17.8
352,Iceland,30.4,28.8,27.1,22.9,22.8,23.1,21.6,24.3,25.2,24.7,22.9,19.3,17.9,15.7,12.3,14.2,13.8,14.3,14.7,14.6,12.7,10.6
356,India,,76,,,,,,54,,52.1,51,48.9,47,46.1,51.6,45.9,45.2,41.1,41.6,38.5,,
360,Indonesia,,,66.2,,,64.2,,44,,,46,54,,,,52.3,,,,,48,
364,Iran,93.8,91.8,89.5,78,66.5,59,47.7,47.9,40.9,36.9,34.7,38.1,35.8,34.8,32.7,32.6,31.3,,,,,
368,Iraq,,,,,,,59.1,,,,46.8,49.6,,,,,68,,,,,
372,Ireland,16.5,17.3,17,16.2,14.9,15,16.5,17.9,19.4,20.6,,19.5,19,18.4,,,16.7,17.7,17.6,16.3,,
376,Israel,20.1,21.1,20.7,19.8,19.1,18.6,18.4,16.8,18.1,17.9,17.8,17.4,16.8,16.4,16.3,15.6,15,14.7,14.7,14.3,13.8,
380,Italy,8.5,8.2,,7.8,,6.8,6.6,6.5,6,6.9,7.2,,6.9,6.6,7,6.8,6.8,6.7,7,6.7,6.5,
388,Jamaica,,,,,,94.5,88.3,,,,76.4,75.3,68,65.2,64.3,,62.9,72,,,,
392,Japan,3.6,3.8,3.9,3.9,4,3.9,3.9,4.3,4.6,4.9,5.4,5.9,6.2,5.8,5.7,5.2,5.1,5,5.1,4.9,4.6,4.6
400,Jordan,,,,,,44.8,,,,,30.4,,,,,29.9,,32.3,,,,
398,Kazakhstan,51,53.6,52,53.1,55,50.8,45.3,39.8,37,33.4,31.1,28.8,25.9,26,27.1,26.9,27.8,29.1,30.7,,,
404,Kenya,,117.9,,,,,111.2,,,142,,116,,,,,106.3,,,,,
296,Kiribati,43,,,,,61,,,,,70.8,,,,,39,,,,,,
408,North Korea,,,,,0,,,,,,,,,,,,,,0.7,,,
410,South Korea,4,4.1,4.4,4.3,,,3.5,3.2,3.1,2.8,2.6,2.3,2.6,2.5,2.3,2.1,2.2,2.3,1.8,1.8,,
414,Kuwait,,8.8,16.8,25.7,28.4,31.4,31.7,,21.8,21.7,21.6,,,19,18,17.3,16.6,14.8,13.6,13.1,12.6,
417,Kyrgyzstan,45.3,50.1,54,57,53.3,54.5,53.1,44.7,42.3,38.3,33.6,32.5,30.4,28.5,26.9,25.7,27.6,28.2,28.6,31,33.5,
418,Lao People's Democratic Republic,,,115,,,,,102,,,,,,,,110,,,,,,
428,Latvia,49.9,50.4,47.4,43.3,33.7,29.7,25.5,21.4,19,19.4,18.7,17.4,16.1,,15.6,15.5,17.3,17.8,17.9,18.8,15.4,
422,Lebanon,,,,30,,25.6,,,,,,18,,,,,,,,,,
426,Lesotho,,54,,,,,37,,,,94.4,,98,,,,,92,,,,
430,Liberia,,,,,,,,,135,,,,,,,137.1,,177.3,,,,
434,Libyan Arab Jamahiriya,,,,7,,,8.8,,,,13.8,,3.8,,,,,,,,,
438,Liechtenstein,,,,8.2,9.3,9.3,9.3,2,,6.9,5.9,8.8,4,9,4,7.1,3.9,,,,,
440,Lithuania,40.7,46.1,46.8,43.1,41.6,40.7,37.7,33.3,29.9,26.5,24.8,21.4,21.2,,19.4,18.6,19.2,18.7,19.2,17,,
442,Luxembourg,13.7,12.9,11.6,12.6,11.4,10.6,9.9,,9.7,,12.2,12.5,12.4,11,10.9,12,10.3,10.2,8.6,7,,
450,Madagascar,154.1,,,146,,173.2,,,,,148.9,,149,,,,,147.1,,,,
454,Malawi,160.1,,,,,,,,160.6,,,,160,,,177,,,157.1,,,
458,Malaysia,,20,20,19,19,17,17,16,15,13,12,15.3,13.3,13,13.1,12.8,12.2,,14,15,,
462,Maldives,106,,,90.1,,60.2,54.8,48.5,44.8,36.5,30.1,28.5,20.1,14.6,,,14.6,14.1,15,18.5,16.1,
466,Mali,,,,,197.6,,,,,192.3,,,,,189.6,,,,,,,
470,Malta,11.5,,12.2,12.6,10.4,9.6,16,16.2,15.7,15.6,16.1,16.1,15.6,14.7,14.9,15.4,15.7,16.2,18.3,19.8,,
584,Marshall Islands,,,,,,105.2,,,,94,,,,,,107.6,104.8,,,,,
474,Martinique,30.8,30.9,27.9,,,,,,,28.1,27.6,28.9,27.8,27.2,20.9,20.1,20.6,20,,,,
478,Mauritania,,,,,,,,,83,,61.1,88,,,,,,,,,,
480,Mauritius,42.3,44.2,42.5,,41.8,39.3,39.5,39.1,38.8,39.8,40.8,35.9,35.5,,34.8,31.9,31.3,33,32.2,31.1,,
175,Mayotte,,,,,,,117,,,,,,108,,106,,,,,,,
484,Mexico,95.4,97.5,89.5,91.5,93.9,87,85.2,84.7,84.7,89.2,91.2,91.1,88.8,85.3,85.8,84,80.3,86.7,87.4,,,
583,Micronesia,,,,,54,,,53.9,57.3,,58.5,56.1,42.3,51.6,,,,,,,,
496,Mongolia,36.4,,,35.5,36.2,31.9,29.7,37.6,28.6,30.1,27.4,28.5,21,17.4,17.3,13.9,18.7,18.2,19.8,,,
499,Montenegro,26.8,,,,,,,,,,21.7,17.9,19.2,17.2,15.9,15.4,15.6,17.3,20.4,23.5,,
500,Montserrat,,53.6,,,32.2,48.7,19.7,53.4,13.5,27.3,27.5,32,5.4,27.9,33.5,,,,,,,
504,Morocco,23.2,25.3,,35.1,,25.2,32.2,32.7,31.4,29.7,28.5,27.4,,,19.1,18,,,,,,
508,Mozambique,,,,,,173.1,,107,,,,,184.8,,,,,193,,,167,
104,Myanmar,29,,,,31.9,,28.2,24.6,,28.7,,17.4,,,,,,,,,,
516,Namibia,101.2,88.4,,,,,,,88.2,,,,,,74.3,,,,,,,
520,Nauru,,,69.6,63.2,72.4,81.7,80.9,93.6,85.9,94.6,113.8,148.5,113.4,,,84,,,,,,
524,Nepal,101,98,,,131,105,,,,115.6,,,,,106.3,,,,,81,,
528,Netherlands,6,5.9,5.3,5.1,4.9,4.2,4.2,4.5,4.6,5.2,5.5,5.8,5.7,5.3,4.6,4.2,3.9,3.8,5.2,5.3,,
530,Netherlands Antilles,53.2,48.7,,,,,,,,,,,40.2,38.9,40.1,36.4,33.2,,,,,
540,New Caledonia,47.4,45.8,41.4,33.9,32.2,16.8,17.3,17.7,15.7,25.6,28.4,26.1,24,20.2,16,23.2,22.1,21.2,,,22.1,
554,New Zealand,33.5,34.2,32.9,31.9,31,33,33.5,33.6,29.9,29.2,27.9,26.9,25.3,25.9,27.1,27.2,28.4,31.7,33.2,29.4,28.9,25.6
558,Nicaragua,,,,,,148.2,139.2,,,119,,,,,,108.5,,,,,,
562,Niger,215,,,,,,215.8,,,,169.3,152.5,,,198.9,,,,,,206,
566,Nigeria,,112,,,,,,110.9,,,,125.5,,,,,123,,,,113,
570,Niue,,,,,35,,,,,,,34.9,,,45.5,,,,,15.6,,
