CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
96,Brunei Darussalam,25.4675,22.4247,21.7734,20.3702,19.1809,19.0426,18.8298,19.0729,19.1694,14.3843,19.958,18.5346,15.5774,15.3596,15.0614,14.1164,13.0213,26.9554,27.5101,23.2086,22.962
100,Bulgaria,8.5911,6.6541,6.2949,7.9619,6.4314,6.9412,6.8367,6.2963,6.0266,5.4521,5.4372,5.8449,5.6553,6.0341,6.0067,6.1905,6.3649,6.9123,6.6908,5.675,5.9617
854,Burkina Faso,0.063,0.0654,0.0641,0.062,0.062,0.0586,0.0644,0.0714,0.0742,0.0779,0.0847,0.0788,0.0772,0.0805,0.0801,0.0793,0.093,0.1093,0.1094,0.1042,0.1022
108,Burundi,0.0543,0.0603,0.0547,0.0568,0.0567,0.0549,0.0537,0.051,0.0484,0.0466,0.0472,0.0332,0.0331,0.0241,0.0281,0.0212,0.025,0.0248,0.0313,0.022,0.0367
116,Cambodia,0.0473,0.0468,0.0467,0.0453,0.0496,0.1389,0.1411,0.1313,0.1628,0.1551,0.1588,0.178,0.1719,0.1827,0.1854,0.2078,0.222,0.2549,0.2876,0.2899,0.2957
120,Cameroon,0.1427,0.0887,0.2946,0.2945,0.2809,0.313,0.3221,0.2198,0.2143,0.201,0.2189,0.2133,0.2083,0.2261,0.2305,0.2106,0.2133,0.3179,0.2956,0.3481,0.3692
124,Canada,16.2478,16.008,16.4745,16.6496,15.6673,15.6914,15.8164,16.1886,17.1754,16.9635,17.4284,16.9757,16.5964,17.5011,17.2914,17.4415,16.8638,17.0057,16.3519,15.2615,14.6733
132,Cape Verde,0.2528,0.2587,0.2824,0.2748,0.2856,0.2886,0.3439,0.3463,0.3656,0.4007,0.4277,0.4696,0.5434,0.55,0.5656,0.6196,0.644,0.6459,0.632,0.6346,0.7177
136,Cayman Islands,9.7128,10.0501,10.8673,11.1059,11.6741,11.1918,11.409,11.5099,11.5791,11.0229,11.3198,10.7056,10.3952,10.0387,9.9258,9.8148,9.6254,11.1926,11.4115,10.5267,10.4926
140,Central African Republic,0.0675,0.0682,0.07,0.0708,0.0724,0.0706,0.069,0.0706,0.07,0.0727,0.0724,0.0653,0.0642,0.0604,0.0539,0.053,0.0555,0.0565,0.0555,0.0544,0.06
