CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
384,Cote d'Ivoire,5798,5636,4624,5893,5251,7132,8379,8174,6912,6267,6791,7726,7286,5460,7664,7825,6997,6883,6872,5856,5805
191,Croatia, , ,16773,16428,16876,17613,18518,19296,20418,20491,19644,20715,21877,23542,23047,23106,23175,24389,23366,21555,20884
192,Cuba,33340,29633,31338,29347,32200,25658,26960,24606,24444,25277,26039,25453,26091,25486,25005,26006,27407,26736,30443,29901,38364
196,Cyprus,4653,4741,5277,5486,5636,5552,5765,5886,6392,6476,6850,6846,7022,7748,7334,7503,7789,8196,8555,8141,7708
203,Czech Republic,217757,200820,139034,131810,125844,125052,127832,129214,122845,112482,124649,124407,120193,122379,122709,120736,122764,123948,117014,108121,111752
180,Democratic Republic of the Congo,4070,3755,3619,3410,2479,2967,3249,2926,2534,2248,1646,1566,1544,1698,1936,2226,2417,2604,2820,2721,3040
720,Democratic Yemen [former],5831, , , , , , , , , , , , , , , , , , , , 
208,Denmark,49747,61213,54319,57158,61052,55141,68602,57055,56068,50931,47260,49035,49266,55735,50597,47099,55005,50253,46960,44503,46303
262,Djibouti,400,400,414,429,429,429,436,440,411,444,403,385,400,407,458,473,488,488,524,532,539
212,Dominica,59,59,59,62,70,81,73,81,77,81,103,114,103,114,110,114,110,150,128,128,136
214,Dominican Republic,9571,10136,11206,11940,12677,16105,17547,18240,18683,18870,20117,20235,21500,21888,18786,19651,20693,21430,21019,20323,20964
218,Ecuador,16835,16487,22303,24188,13638,22812,23891,18276,22229,21272,20942,23447,24690,26523,28658,29908,29688,30759,29670,30473,32636
818,Egypt,75944,78716,81264,93156,85313,95723,102031,108202,122243,125393,141326,125452,127194,147963,150912,167208,178616,192382,196797,197871,204776
222,El Salvador,2618,3231,3429,3891,4430,5280,4895,5761,5812,5699,5743,5948,6040,6553,6366,6454,6846,6898,6546,6476,6249
226,Equatorial Guinea,121,202,216,103,37,132,117,293,169,473,455,3095,4980,6018,5218,4712,4752,4796,4503,4620,4679
232,Eritrea, , , , ,183,297,348,528,590,620,609,631,605,726,770,766,561,579,414,513,513
233,Estonia, , ,23014,17752,17682,16135,17946,17547,16509,15288,15181,15596,14936,17052,17217,16780,16190,18845,17492,14745,18339
231,Ethiopia,3018,2985,2967,3029,2978,2153,3729,4276,5027,5075,5831,4309,4481,4947,5244,5053,5420,5915,6370,6659,6494
234,Faeroe Islands,623,594,656,708,623,722,638,631,660,667,711,792,763,777,796,766,766,774,719,667,711
238,Falkland Islands (Malvinas),37,37,37,37,37,40,44,48,37,37,37,44,44,48,51,51,59,59,59,59,59
242,Fiji,818,675,722,763,818,869,895,737,704,803,865,1115,836,862,1133,1364,1360,1203,1078,847,1291
246,Finland,51745,53747,47858,50568,57499,52827,61283,59992,56989,55423,52141,56424,61078,68888,67091,54646,66197,63982,56593,53168,61844
250,France,399028,427668,397037,389105,369458,393289,408126,379487,409094,371309,365560,385827,380840,387591,390103,392072,382582,375882,372564,356924,361273
254,French Guiana,814,840,880,876,895,909,906,898,840,671,572,631,561,733,697,660,576,678,693,700,700
258,French Polynesia,631,638,645,616,539,572,579,598,594,583,631,737,737,799,788,851,851,843,869,873,884
266,Gabon,4844,1478,2131,3282,3352,3858,3535,3546,1632,1437,1052,1782,1778,1335,1767,2087,1977,2332,1566,81,2574
270,Gambia,191,198,198,209,209,216,216,216,235,257,275,282,315,315,323,323,337,396,411,436,473
268,Georgia, , ,15335,9952,6084,2303,4067,4437,4961,4345,4536,3770,3388,3773,4323,5068,6150,6190,6238,6058,6241
276,Germany, ,929973,891976,877645,865559,864110,889614,862277,855364,822460,829978,853663,828771,833406,825896,806703,808860,784016,783359,732249,745384
288,Ghana,3931,4045,4096,4664,5071,5427,5757,6395,6403,6549,6289,6920,7437,7631,7349,6956,9289,9578,8529,7444,8999
300,Greece,72724,67616,75504,75647,78364,79185,80395,84572,87810,86637,91616,93806,93670,95738,97150,98675,97286,98246,97810,94902,86717
304,Greenland,557,550,484,502,506,506,517,524,532,543,532,539,539,532,583,609,627,616,638,557,634
308,Grenada,110,114,121,125,147,158,161,176,176,194,191,194,205,216,205,216,231,238,260,253,260
312,Guadeloupe,1294,1360,1426,1452,1496,1518,1525,1544,1525,1588,2076,2094,2028,2046,1834,1716,1709,1742,1738,1738,1738
320,Guatemala,5086,5053,6018,5658,6839,7165,6652,7598,8753,8929,9916,10627,11096,10502,11621,12453,12526,12636,11441,11844,11118
324,Guinea,1056,1074,1074,1104,1228,1250,1272,1280,1243,1272,1280,1298,1324,1342,1342,1181,1181,1210,1214,1228,1236
624,Guinea-Bissau,253,257,260,279,279,282,286,264,172,194,147,150,154,194,202,213,216,231,227,235,238
328,Guyana,1140,1122,1052,1056,1335,1481,1529,1602,1654,1683,1610,1595,1580,1566,1628,1434,1291,1566,1558,1555,1701
332,Haiti,994,997,909,664,301,942,1093,1423,1232,1331,1368,1569,1826,1734,1988,2076,2112,2391,2428,2263,2120
340,Honduras,2593,2699,3077,2849,3337,3880,3960,4158,4650,4741,5031,5713,6091,6769,7367,7554,7008,8779,8672,7866,8108
348,Hungary,62955,63435,58705,60117,58074,60058,62698,61807,60777,60362,57238,57022,56094,59072,57352,57917,57235,55859,54657,48676,50583
352,Iceland,1991,1767,1830,1991,2010,1947,2211,2105,2101,2068,2164,2101,2171,2167,2233,2204,2277,2310,2120,2054,1962
356,India,690577,737852,783634,814298,864932,920047,1002224,1043940,1071912,1144390,1186663,1203843,1226791,1281914,1348525,1411128,1504365,1611404,1811289,1982263,2008823
360,Indonesia,149566,179731,202576,218601,221413,224941,253291,278659,210211,241989,263419,294907,306737,316792,337635,341992,345120,375545,412387,453106,433989
364,Iran,211135,228036,229074,237768,265824,273529,276726,269979,309231,382714,372703,398827,402178,418859,447480,469328,509889,539790,570574,577483,571612
368,Iraq,52555,47422,61672,66802,75045,77902,69501,68309,72372,72284,72445,85342,87260,91118,114084,114770,99544,62834,94444,106651,114667
372,Ireland,31408,31283,31324,31247,32699,32875,35614,36512,38217,40183,41345,44151,43762,43337,43956,43535,43458,44583,43021,40623,40000
376,Israel,33535,34316,41499,45148,47121,54235,54400,63402,62779,62156,62691,65749,63146,65122,63201,60245,65977,66424,70938,67029,70656
380,Italy,417550,423803,420535,411918,407378,430308,432237,436663,445306,440150,451441,450348,452632,468349,472768,473380,469347,462676,447187,401592,406307
388,Jamaica,7965,8174,8097,8416,8632,9703,10198,10631,9729,9773,10319,10627,10301,10722,10715,10645,12020,13480,11947,8592,7158
