584,Marshall Islands,72.2,72.2,72.2,72.2
474,Martinique,45.7,45.7,45.7,45.7
478,Mauritania,0.4,0.3,0.3,0.2
480,Mauritius,19.2,19.2,17.2,17.2
175,Mayotte,48.6,43.2,40.5,37.8
484,Mexico,36.2,34.3,33.7,33.3
583,Micronesia,91.4,91.4,91.4,91.4
492,Monaco,,,,
496,Mongolia,8,7.5,7.2,7
499,Montenegro,40.4,40.4,40.4,40.4
500,Montserrat,36.4,20,20,20
504,Morocco,11.3,11.2,11.4,11.5
508,Mozambique,55.2,52.4,51,49.6
104,Myanmar,59.6,53,50.7,48.3
516,Namibia,10.6,9.8,9.3,8.9
520,Nauru,0,0,0,0
524,Nepal,33.7,27.3,25.4,25.4
528,Netherlands,10.2,10.6,10.8,10.8
530,Netherlands Antilles,1.3,1.3,1.3,1.3
540,New Caledonia,45.9,45.9,45.9,45.9
554,New Zealand,28.8,30.9,31,30.9
558,Nicaragua,37.2,31.4,28.5,25.7
562,Niger,1.5,1,1,1
566,Nigeria,18.9,14.4,12.2,9.9
570,Niue,80.8,76.9,73.1,73.1
580,Northern Mariana Islands,73.9,69.6,67.4,65.2
578,Norway,30,30.6,31.8,33.1
512,Oman,0,0,0,0
586,Pakistan,3.3,2.7,2.5,2.2
585,Palau,82.6,87,87,87
591,Panama,50.9,45.3,44.5,43.7
598,Papua New Guinea,69.6,66.5,65,63.4
600,Paraguay,53.3,48.7,46.5,44.3
604,Peru,54.8,54.1,53.7,53.1
608,Philippines,22,23.9,24.8,25.7
616,Poland,29.2,29.8,30,30.5
620,Portugal,36.3,37.6,37.9,38.1
630,Puerto Rico,32.4,52.3,57.3,62.2
634,Qatar,0,0,0,0
498,Republic of Moldova,9.7,9.9,11,11.7
638,Reunion,34.8,34.8,34,35.2
642,Romania,27.7,27.7,27.8,28.6
643,Russian Federation,49.4,49.4,49.4,49.4
646,Rwanda,12.9,13.9,15.6,17.6
654,Saint Helena,6.5,6.5,6.5,6.5
659,Saint Kitts and Nevis,42.3,42.3,42.3,42.3
662,Saint Lucia,72.1,77,77,77
666,Saint Pierre and Miquelon,13,13,13,13
670,Saint Vincent and the Grenadines,64.1,66.7,66.7,69.2
882,Samoa,45.9,60.4,60.4,60.4
674,San Marino,0,0,0,0
