CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
854,Burkina Faso,0.17,0.19,0.2,0.22,0.25,0.28,0.31,0.32,0.35,0.4,0.43,0.46,0.48,0.5,0.62,0.64,0.65,0.78,0.95,0.95,0.87,0.83,0.81
108,Burundi,0.14,0.18,0.22,0.26,0.26,0.28,0.25,0.26,0.29,0.3,0.31,0.32,0.33,0.35,0.39,0.43,0.37,0.37,0.38,0.38,0.42,0.35,0.2
116,Cambodia,0.03,0.04,0.04,0.04,0.06,0.08,0.14,0.17,0.2,0.23,0.25,0.26,0.28,0.24,0.24,0.25,0.19,0.27,0.31,0.39,2.54,3.7,4.04
120,Cameroon,0.33,0.33,0.42,0.43,0.43,0.47,0.49,0.51,0.63,0.62,0.61,0.66,0.68,0.58,0.58,0.57,0.73,1.03,1.36,2.27,2.75,3.34,3.6
124,Canada,55.22,56.38,57.23,58.24,59.47,59.95,60.76,62.51,64.07,67.08,67.95,68.22,65.92,65.21,64.37,56.21,55.89,55.44,54.76,55.55,54.07,52.99,51.94
132,Cape Verde,2.37,2.56,3.19,4.07,4.79,5.45,6.24,8.05,9.49,10.92,12.5,14.41,15.5,15.59,15.36,15.14,14.97,14.86,14.74,14.62,14.51,14.88,13.9
136,Cayman Islands,47.34,43.11,44.42,46.59,56.02,59.19,,53.81,75.4,82.31,87.08,89.41,84.23,79.47,75.59,72.7,70.75,64.1,64.68,64.83,66.43,65.63,65.34
140,Central African Republic,0.17,0.18,0.2,0.21,0.23,0.25,0.28,0.28,0.27,0.27,0.26,0.24,0.24,0.24,0.25,0.25,,,,0.08,0.11,0.12,0.12
148,Chad,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.1,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.13,0.2,0.31,0.42,0.53,0.46,0.27,0.25
152,Chile,6.55,7.86,9.38,10.91,11.2,12.62,14.7,18.15,20.26,20.41,21.42,22.22,21.97,20.38,20.57,21.08,20.55,20.8,21.02,21.02,20.2,19.49,18.8
156,China,0.6,0.73,0.98,1.46,2.27,3.35,4.48,5.68,7,8.63,11.41,14.11,16.66,20.31,23.97,26.8,27.98,27.67,25.62,23.5,21.95,21.16,20.6
344,"China, Hong Kong Special Administrative Region",42.72,45.11,47.68,50.09,52.07,53.35,55.06,56.85,56.81,57.81,57.87,57.07,56.05,55.79,55.28,55.7,56.14,61.24,60.39,61.21,61.84,60.97,60.61
446,"China, Macao Special Administrative Region",25.9,28.87,31.96,34.91,37.08,38.47,39.89,41.26,41.66,42.06,40.95,40.08,39.18,38.01,37,36.23,35.82,35.2,33.93,32.09,30.97,29.93,28.64
170,Colombia,7.27,7.78,8.18,8.93,9.81,10.62,12.52,14.28,16.56,17.05,18.09,18.24,18.91,18.81,17.9,17.84,17.99,17.87,17.62,16.37,15.52,15.19,13.23
174,Comoros,0.75,0.81,0.84,0.85,0.89,0.89,0.98,1.06,1.17,1.19,1.2,1.54,1.73,2.17,2.41,2.63,2.89,3.84,4.13,4.3,2.86,3.13,3.1
178,Congo,0.66,0.69,0.71,0.74,0.77,0.78,0.78,0.76,0.74,0.72,0.7,0.68,0.67,0.21,0.4,0.45,0.38,0.36,0.24,0.29,0.33,0.34,0.35
184,Cook Islands,16.98,17.79,20.44,23.53,26.35,28.03,27.96,28.37,29.34,30.49,31.86,32.81,33.7,35.13,34.6,34.23,33.74,34.27,33.44,34.09,35.63,36.47,37.88
188,Costa Rica,9.17,9.69,10.13,11.02,12.7,13.81,14.78,18.77,19.85,20.95,22.93,23.61,25.42,27.86,31.71,32.22,30.34,32.27,31.79,32.67,27.24,26.1,21.23
384,Cote d'Ivoire,0.58,0.63,0.63,0.65,0.72,0.79,0.86,0.92,1.07,1.35,1.59,1.74,1.89,1.36,1.45,1.43,1.48,1.33,1.88,1.46,1.44,1.33,1.3
191,Croatia,18.22,19.6,20.81,22.2,25.87,27.57,29.83,32.17,34,35.98,38.2,39.74,40.86,41.99,42.42,42.38,41.3,41.72,42.51,42.15,42.37,40.06,37.38
192,Cuba,3.18,3.18,3.14,3.23,3.22,3.24,3.25,3.37,3.51,3.92,4.4,5.16,5.96,6.46,6.84,7.61,8.54,9.36,9.66,9.94,10.34,10.6,10.81
196,Cyprus,32.08,34.33,36.32,37.98,39.46,40.6,41.95,43.34,44.57,45.82,46.65,45.24,43.62,42.49,41.19,40.68,38.95,38.5,38.38,38.01,37.44,36.27,33.05
203,Czech Republic,15.76,16.57,17.63,19.11,21.1,23.69,27.33,31.85,36.4,37.1,37.8,37.76,36,35.55,33.6,31.48,28.15,23.3,23.88,24.2,22.92,21.73,19.88
180,Democratic Republic of the Congo,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.06,0.07,0.06,0.08,0.08
208,Denmark,56.63,57.24,58.1,58.94,59.92,61.02,61.86,63.3,65.96,68.38,71.82,72.16,68.91,67.12,64.65,61.78,56.93,51.66,54.12,50.21,47.09,45.13,43.47
262,Djibouti,1.02,1.07,1.14,1.22,1.23,1.21,1.26,1.24,1.15,1.24,1.33,1.32,1.32,1.3,1.4,1.31,1.37,1.68,1.74,1.93,2.08,2.04,1.95
212,Dominica,16.4,17.51,19.31,22.34,23.41,24.94,26.32,27.1,28.5,30.47,32.58,33.48,34.21,32.47,30.34,27.57,25.47,25.5,25.68,24.29,22.85,22.15,21.55
214,Dominican Republic,4.74,5.59,6.41,6.95,7.14,7.36,7.68,8.6,9.28,9.77,10.41,10.95,10.26,10.1,9.88,9.67,9.54,9.51,10.2,9.85,10.2,10.45,10.46
218,Ecuador,4.78,4.68,4.95,5.46,5.89,6.13,6.91,7.65,8.28,9.3,9.92,10.64,11.05,11.79,12.04,12.51,13.02,13.16,13.56,14.12,14.42,15.07,15.53
818,Egypt,2.82,3.13,3.44,3.72,4.02,4.38,4.79,5.38,6.08,7.05,8.11,9.72,11.11,12.22,12.99,14.01,14.3,14.59,15.13,12.94,11.86,10.56,10.19
222,El Salvador,2.34,2.4,3,3.11,4.16,4.97,5.62,6.17,6.58,8.38,10.53,10.89,11.15,12.53,14.73,16.06,17.07,17.7,17.57,17.84,16.16,16.54,16.91
226,Equatorial Guinea,0.35,0.34,0.33,0.31,0.59,0.57,0.8,0.8,1.14,1.15,1.17,1.28,1.59,1.68,1.78,1.65,1.6,1.55,1.51,1.47,1.93,2.02,2.01
232,Eritrea,,,0.41,0.42,0.48,0.55,0.58,0.66,0.71,0.77,0.83,0.82,0.9,0.92,0.91,0.84,0.81,0.78,0.82,0.95,1.03,1.08,1.08
233,Estonia,20.41,21.39,22.22,23.36,25.76,28.57,30.91,33.39,35.86,37.36,38.14,37.15,35.01,34.1,32.93,32.84,33.62,36.9,37.11,36.73,35.96,35.2,33.45
231,Ethiopia,0.26,0.27,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.3,0.35,0.42,0.51,0.57,0.67,0.82,0.95,1.13,1.13,1.13,1.1,0.98,0.92
234,Faeroe Islands,47.99,50.46,51.55,51.73,51.42,51.16,52.64,53.85,54.18,55.14,54.55,49.95,51.99,51.17,50,49.37,47.54,46.24,44.9,43.03,41.42,,48.9
238,Falkland Islands (Malvinas),,66.88,64.32,61.63,63.73,62.73,64.66,70.4,74.72,76.9,79.28,80.6,81.82,88.14,87.3,86.31,80.89,78.89,66.69,65.7,65.93,66.37,65.25
242,Fiji,5.82,6.2,6.66,7.15,7.77,8.35,8.92,9.05,9.61,10.1,10.64,11.32,11.95,12.48,12.82,13.68,13.89,14.59,15.3,16.05,15.09,14.95,10.1
246,Finland,53.54,54.25,54.46,54.59,55.07,55.01,55.45,55.67,55.16,55.22,55.07,54.12,52.44,49.28,45.31,40.42,36.27,32.89,31.04,26.77,23.3,20.06,16.47
250,France,49.53,51.09,52.63,53.82,55.01,56.01,56.67,57.83,58.29,57.68,57.56,57.39,57.09,56.35,55.62,55.26,55.6,56.36,56.52,65.55,64.7,63.43,61.92
258,French Polynesia,19.54,20.67,21.4,21.66,22.25,22.55,23.27,23.28,23.17,22.38,22.59,22.1,21.7,21.55,21.17,20.95,20.78,20.7,20.62,20.29,20.29,20.09,19.87
266,Gabon,2.23,2.74,2.79,2.91,2.97,2.94,3.13,3.24,3.29,3.15,3.16,2.95,2.49,2.92,2.88,2.85,2.61,1.86,2.29,2.47,2.02,1.47,1.09
270,Gambia,0.64,1,1.35,1.53,1.67,1.71,1.84,2.08,2.09,2.32,2.57,2.62,2.79,2.96,2.94,2.93,2.99,3.06,2.99,2.88,2.82,2.84,3.52
268,Georgia,9.89,10.28,10.71,10.87,10.19,10.93,11.37,12.52,12.93,13.97,10.72,12.15,13.84,14.6,15.12,12.74,12.45,12.59,14.07,14.18,25.41,30.96,29.65
276,Germany,40.31,42.13,44.12,45.72,47.61,51.26,53.65,54.9,56.5,58.55,60.98,63.52,65.11,65.75,66.07,66.38,65.91,64.35,60.99,65.17,64.28,63.05,61.84
288,Ghana,0.3,0.31,0.31,0.3,0.3,0.37,0.45,0.59,0.73,0.86,1.11,1.25,1.37,1.41,1.48,1.49,1.61,1.66,0.62,1.12,1.14,1.14,1.12
300,Greece,38.86,40.89,43.44,45.34,47.06,48.38,49.55,50.17,50.86,51.3,51.51,50.83,56.84,56.7,56.99,56.44,55,48.59,46.53,52.98,51.92,50.44,47.83
304,Greenland,29.89,30.11,30.25,31.52,33.21,35.24,37.94,41.91,44.69,45.73,46.59,42.94,44.74,44.42,44.05,56.22,62.82,40.41,39.81,38.46,38.09,34.72,33
308,Grenada,15.8,16.81,19.06,20.47,21.15,23.16,23.93,26.23,27.15,29.04,30.88,32.19,32.9,31.94,31.92,26.7,26.89,27.6,27.55,27.22,27.15,27.08,27.06
316,Guam,29.15,31.65,33.3,46.6,44.31,47.54,47.41,47.65,49.68,50.73,47.93,50.76,43.67,40.17,39.48,38.86,38.3,37.79,37.31,36.86,36.41,,36.35
320,Guatemala,2.13,2.21,2.29,2.42,2.5,2.86,3.3,4.1,4.82,5.56,6.02,6.57,7.17,7.8,9.13,9.81,10.39,10.58,10.58,10.07,10.41,11.02,11.52
324,Guinea,0.2,0.19,0.17,0.17,0.13,0.14,0.21,0.25,0.19,0.26,0.29,0.3,0.3,0.3,0.29,0.28,0.25,0.23,0.28,0.23,0.18,0.18,0.17
624,Guinea-Bissau,0.59,0.6,0.61,0.62,0.63,0.65,0.69,0.65,0.68,0.5,0.9,0.78,0.87,0.8,0.72,0.7,0.49,0.32,0.32,0.33,0.33,0.32,0.32
328,Guyana,2.21,2.21,3.92,5.7,6.06,6.13,6.88,7.55,8.2,8.75,9.33,10.87,10.9,12.46,13.81,14.76,15.77,17.12,18.47,19.53,19.86,20.14,20.35
332,Haiti,0.63,0.62,0.61,0.59,0.65,0.76,0.75,0.73,0.78,0.82,0.84,0.91,1.45,1.54,1.52,1.55,1.58,1.13,1.11,1.08,0.5,0.49,0.49
340,Honduras,1.8,1.88,2.03,2.21,2.41,2.88,3.33,4,4.18,4.58,4.8,4.88,4.98,5.06,5.74,7.18,10.19,11.47,11.31,9.62,8.81,7.92,7.72
348,Hungary,9.6,10.89,12.47,14.47,17.15,20.88,25.71,30.08,33.35,36.39,37.2,36.74,36.12,35.55,35.25,33.86,33.39,32.37,30.87,30.68,29.82,29.43,29.76
352,Iceland,51.21,52.67,53.88,54.73,55.99,55.58,58.05,60.62,63.01,66.44,69.82,69.2,65.55,66.46,65.01,65.33,62.65,61.06,64.22,60.27,60.48,58.92,57.57
356,India,0.58,0.65,0.75,0.86,1.04,1.24,1.48,1.78,2.12,2.56,3.08,3.6,3.8,3.8,4.11,4.4,3.52,3.34,3.18,3.07,2.87,2.63,2.47
