CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan, , , , , , , , , , , , , , , , , , , , ,16.1,14.6
8,Albania, , , , , , , , , , , , ,41.1, , , , , , ,66.8, , 
24,Angola, , , , , , ,31.5, , , , , , , , , , , , , , , 
32,Argentina, , , , , , , , , , , , , , , ,89.3, , , , , , 
51,Armenia, , , , , , , , , , ,64.7, , , , ,70.9, , , , ,92.8, 
36,Australia, , , , , , , , , , , , , , , , , , ,92, , , 
31,Azerbaijan, , , , , , , , , , , ,30.4, , , , ,45.2, , , , , 
50,Bangladesh, , , , ,6, , ,5.8, , ,10.5,11.6, , ,15.9, , ,20.6, , ,23.4,25.5
84,Belize, ,76.4, , , , , , , , , , , , , , , , , , , , 
204,Benin, , , , , , ,53.7, , , , ,61.6, , , , ,60.5, , , , , 
64,Bhutan, , , , , , , , , , , , , , , , , , , , ,77.3, 
68,Bolivia, , , , , , , , ,48, , , , ,57.9, , , , ,72.1, , , 
72,Botswana, , , , , , , , , , , , , , , , , ,73.3, , , , 
76,Brazil, , , , , , ,75.9, , , , , , , , ,87,89,88.7, ,90.5, , 
854,Burkina Faso, , , ,22.6, , , , , ,22.7, , , ,17.6, , , , , , ,33.7, 
108,Burundi, , , , , , , , , , , , , , , , , , , , ,33.4, 
116,Cambodia, , , , , , , , , , ,8.9, , , , ,27, , , , ,59.4, 
120,Cameroon, ,49, , , , , , ,52.4, , , , , ,60.4, , , , , , , 
124,Canada, , , , , , , , , , , , , , , , , ,99, , , , 
132,Cape Verde, , , , , , , , ,63.9, , , , , , ,72.3, , , , , , 
140,Central African Republic, , , , , ,39.7, , , , , , , , , , , , , , ,38.1, 
148,Chad, , , , , , , ,14.8, , , , , , ,17.8, , , , , ,23.1, 
170,Colombia,67, , , , , , , , , ,81, , , , ,83.1, , , , ,88.6, 
174,Comoros, , , , , , ,52, , , , , , , , , , , , , , , 
178,Congo, , , , , , , , , , , , , , , ,74.7, , , , , , 
188,Costa Rica, , , , , , , , , , , , , , , , , , ,85.8, , , 
384,Cote d'Ivoire, , , , ,28.7, , , , ,35.6, , , , , ,45.3, , , , , , 
192,Cuba, , , , , , , , , , , , , , , , , , , ,99,100,100
203,Czech Republic, , , ,96.8, , , , , , , , , , , , , , , , , , 
180,Democratic Republic of the Congo, , , , , , , , , , , , , , , , , ,46.7, , ,44.7, 
262,Djibouti, , , , , , , , , , , , ,7.1, , , , , , , , , 
214,Dominican Republic, , , , , , ,87.6, , , , , ,93.5, , , , ,94.5, , , , 
218,Ecuador, , , , ,63.6, , , , , , , , , ,57.5, , , , , , , 
818,Egypt, , ,22.5, , ,28.3, ,31.8,33.1, ,36.7, , ,55.6, ,58.5, , ,66, , , 
222,El Salvador, , , , , , , , , , , , , ,71.2, , , , ,78.3, , , 
232,Eritrea, , , , , ,26.6, , , , , , ,40.9, , , , , , , , , 
231,Ethiopia, , , , , , , , , , ,10.4, , , , ,12.2, , , , , ,19.1
266,Gabon, , , , , , , , , , ,63.3, , , , , , , , , , , 
270,Gambia, , , , , , , , , , , , , , , , , , , , ,72, 
268,Georgia, , , , , , , , , , , , , , , ,75, , , , ,90.2, 
288,Ghana, , , ,58.9, , , , ,62.3, , , , ,69.4, , , ,76.7,78.2, , ,86.6
324,Guinea, , ,24.5, , , , , , ,46.3, , , , , ,48.8, ,50.3, , , , 
624,Guinea-Bissau, , , , , , , , , , , , , , , , , , , , ,70, 
328,Guyana, , , , , , , , , , , , , , , , , , , ,78.5, , 
332,Haiti, , , , , ,35.6, , , , ,44.2, , , , , ,53.8, , , , , 
340,Honduras, , , , , , , , , , , ,58.6, , , , ,80.8, , , , , 
356,India, , , ,26.9, , , , , ,29.5, , , , , , ,37, , , , , 
360,Indonesia, ,55.4, , ,63.1, , ,70.4, , , , , ,81, , , ,81.5, , , , 
364,Iran, , , , , , , , , , , , , , , ,94.3, , , , , , 
380,Italy, , , , , , , , , , , , , ,68.1, , , , , , , , 
