CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
344,"China, Hong Kong Special Administrative Region",9.4,8.1,7.1,6.4,5.8,5.4,5.1,5,4.8,4.6,4.5,4.3,4.1,3.9,3.8,3.5,3.4,3.3,3.2,3.2,3.2,3.3
446,"China, Macao Special Administrative Region",9.5,8.1,7,6.2,5.6,5.2,4.9,4.8,4.7,4.5,4.4,4.1,3.9,3.7,3.4,3.1,2.9,2.8,2.7,2.6,2.6,2.6
170,Colombia,6.4,6.4,6.2,6,5.7,5.3,4.9,4.4,4,3.7,3.4,3.2,3.2,3.1,2.9,2.8,2.7,2.5,2.3,2.2,2,1.9
174,Comoros,10,9.8,9.3,8.9,8.6,8.1,7.7,7.2,6.8,6.8,6.8,7,7.3,7.5,7.5,7.5,7.4,7.2,6.9,6.6,6.5,6.4
178,Congo,29,30,29,29,30,30,30,30,32,33,35,38,42,44,46,47,46,45,45,44,44,43
184,Cook Islands,1.2,1.5,1.8,1.9,1.9,1.9,1.6,1.3,1,0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6
188,Costa Rica,2.8,2.8,2.8,2.7,2.6,2.6,2.5,2.4,2.3,2.2,2.1,1.9,1.8,1.6,1.5,1.4,1.3,1.1,1,0.9,0.8,0.7
384,Cote d'Ivoire,39,44,49,52,55,57,59,59,58,57,55,52,49,45,41,38,34,31,29,27,24,24
191,Croatia,8.6,7.9,7.2,6.7,6.1,5.7,5.3,5,4.7,4.4,4.2,3.9,3.7,3.5,3.3,3,2.8,2.6,2.5,2.3,2.1,2
192,Cuba,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
196,Cyprus,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
203,Czech Republic,1.9,1.7,1.5,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1,1,0.9,0.8,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.3
180,Democratic Republic of the Congo,73,72,70,69,68,66,65,64,63,62,60,59,57,56,55,54,53,52,57,53,53,54
208,Denmark,1.1,1,0.9,0.8,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
262,Djibouti,88,79,70,63,57,53,50,50,50,53,56,63,71,78,83,87,89,88,88,87,81,76
212,Dominica,6.7,5.7,5,4.3,3.9,3.5,3.1,2.9,2.7,2.7,2.7,2.4,1.9,1.6,1.6,1.8,2,2.2,2.6,3,3.6,4.2
214,Dominican Republic,14,13,13,12,12,11,11,10,10,9.5,9.2,8.9,8.6,8.4,8.1,7.9,7.6,7.3,7,6.7,6.4,6.1
218,Ecuador,22,21,20,19,19,18,17,16,15,14,13,12,11,11,9.6,8.8,8,7.2,6.5,5.9,5.2,4.6
818,Egypt,3.3,3.1,3,2.8,2.6,2.5,2.3,2.1,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.6
222,El Salvador,5.7,5.6,5.4,5.1,4.9,4.6,4.2,3.8,3.5,3.2,2.9,2.6,2.3,2.1,1.9,1.8,1.7,1.5,1.4,1.3,1.2,1.1
226,Equatorial Guinea,20,21,22,22,23,23,23,21,21,20,20,18,17,16,13,13,13,12,9.1,11,11,10
232,Eritrea,12,11,11,10,10,9.7,9.3,8.9,8.5,8,7.7,7.2,6.8,6.5,6.2,5.9,5.6,5.4,5.2,5,4.9,4.7
233,Estonia,3.8,5,6.2,7.4,8.5,9.3,9.9,10,10,9.5,8.8,8.1,7.3,6.5,5.9,5.3,4.7,4.2,3.8,3.4,3,2.7
231,Ethiopia,49,49,48,48,48,48,47,46,45,43,41,39,37,34,31,29,27,25,23,21,20,18
242,Fiji,7.5,7,6.5,6,5.6,5.2,4.8,4.5,4.2,3.9,3.7,3.4,3.2,3,2.8,2.7,2.5,2.3,2.2,2,1.9,1.8
246,Finland,2.5,2.3,2.1,1.9,1.8,1.7,1.6,1.6,1.5,1.4,1.2,1.1,1,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.3,0.3
250,France,1.7,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.2,1.2,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5
258,French Polynesia,1.5,1.8,2,2.2,2.3,2.4,2.4,2.3,2.2,2,1.8,1.6,1.5,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1
266,Gabon,40,42,49,51,54,57,59,61,64,74,80,82,85,83,81,77,74,66,61,58,51,45
270,Gambia,36,37,38,38,39,39,39,38,38,37,37,37,37,38,39,40,42,43,44,46,48,49
268,Georgia,8.3,8.1,8,7.9,7.9,7.8,7.8,7.9,7.8,7.8,7.6,7.2,6.8,6.3,5.7,5.2,4.8,4.4,4.1,3.9,3.8,3.7
276,Germany,1.3,1.2,1.1,1,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
288,Ghana,32,31,30,29,28,27,27,26,25,24,23,22,20,19,18,17,15,14,14,11,9.1,7.5
300,Greece,2,1.9,1.7,1.6,1.5,1.3,1.2,1.1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
304,Greenland,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
308,Grenada,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0.2,0.5,0.8,1.1,1.3,1.5,1.5,1.5,1.4,1.3,1.1
316,Guam,2.3,2.6,2.8,2.9,3,3,2.9,2.8,2.6,2.3,2,1.8,1.6,1.5,1.6,1.7,1.9,2.1,2.2,2.6,2.8,3.2
320,Guatemala,11,10,9.8,9.2,8.6,8,7.3,6.6,6,5.5,5,4.6,4.1,3.7,3.5,3.3,3.1,2.9,2.8,2.7,2.5,2.4
324,Guinea,62,60,59,57,56,54,52,50,48,46,44,40,40,38,36,34,32,30,29,26,25,23
624,Guinea-Bissau,21,20,20,20,21,22,24,27,28,30,31,31,29,28,27,27,27,27,28,29,30,24
328,Guyana,9.2,9.2,9.5,10,11,12,13,15,17,18,20,21,22,22,22,22,22,22,23,24,25,27
332,Haiti,31,33,35,37,38,39,39,39,40,41,41,42,41,41,40,38,36,32,33,31,30,30
340,Honduras,6.4,6.5,6.6,6.5,6.4,6.3,6.1,5.9,5.6,5.3,5,4.8,4.5,4.3,4.1,3.9,3.7,3.6,3.4,3.3,3.2,3.1
348,Hungary,5.3,5.5,5.6,5.6,5.6,5.4,5.1,4.8,4.4,4,3.6,3.2,2.8,2.5,2.1,1.8,1.6,1.4,1.2,1.1,0.9,0.8
352,Iceland,0.7,0.9,1,1.1,1.1,1,0.9,0.7,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
356,India,38,38,38,38,38,38,38,39,39,39,39,39,39,38,37,36,34,33,31,29,27,24
360,Indonesia,53,56,58,59,60,61,61,61,60,58,56,52,48,44,41,37,34,32,30,29,28,27
364,Iran,4.5,4.8,5,5.2,5.1,5.1,4.8,4.4,4.1,3.8,3.6,3.5,3.3,3.1,3,2.8,2.7,2.7,2.7,2.7,2.8,2.9
368,Iraq,7.2,7,6.7,6.5,6.3,6,5.8,5.5,5.3,5.1,4.9,4.7,4.5,4.4,4.2,4.1,3.9,3.8,3.6,3.5,3.3,3.2
372,Ireland,1.5,1.4,1.3,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
376,Israel,0.5,0.7,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
380,Italy,1,1,1.1,1.1,1.1,1.1,1.1,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6
388,Jamaica,1.1,1.1,1,1,1,0.9,0.9,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.2
392,Japan,3.4,3.2,3,2.8,2.6,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7
