CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
120,Cameroon,0,0,0,0,0.01,0.02,0.02,0.03,0.03,0.04,0.66,2.6,4.28,6.42,8.92,12.83,17.47,24.72,32.84,41.74,44.07,52.35,64.04
124,Canada,2.11,2.77,3.62,4.64,6.43,8.84,11.82,14.05,17.75,22.75,28.46,34.39,37.95,42.05,47.02,52.71,57.46,61.49,66.29,70.71,75.92,79.73,75.74
132,Cape Verde,0,0,0,0,0,0,0,0,0.24,1.88,4.51,7.08,9.49,11.6,14.09,17.28,22.76,31.51,56.97,59.11,74.97,79.19,84.16
136,Cayman Islands,0,2.04,3.44,4.19,5.77,7.73,,11.62,14.09,21.97,26.62,40,42.11,44,67.23,154.87,172.32,185.62,177.8,194.93,177.65,167.67,168.27
140,Central African Republic,0,0,0,0,0,0,0.03,0.04,0.05,0.11,0.13,0.29,0.33,1.03,1.52,2.49,2.69,4.81,5.9,20,22.25,22.12,23.39
148,Chad,0,0,0,0,0,0,0,0,0,0,0.07,0.26,0.39,0.71,1.3,2.15,4.62,8.85,15.02,20.86,25.61,31.8,35.49
152,Chile,0.11,0.27,0.47,0.61,0.82,1.37,2.18,2.76,6.41,14.84,22.06,32.69,39.56,45.54,57.41,64.84,75.6,83.9,88.1,97.02,116,129.71,138.5
156,China,0,0,0.02,0.05,0.13,0.3,0.56,1.07,1.91,3.44,6.72,11.33,16.02,20.87,25.74,30.09,35.07,41.42,48.28,55.97,64.04,73.19,81.26
344,"China, Hong Kong Special Administrative Region",2.31,3.24,3.95,4.87,8.02,12.99,21.73,34.76,48.36,63.88,80.31,84.59,93.55,107.72,120.66,125.47,138.21,156.44,167.19,180.27,195.57,214.72,227.93
446,"China, Macao Special Administrative Region",0.62,1.31,2.78,3.93,5.47,9.01,11.06,12.86,19.67,27.83,32.66,44.17,61.44,79.23,91.99,110.67,129.01,157.07,179.88,195.29,206.43,243.5,284.34
170,Colombia,0,0,0,0,0.24,0.75,1.41,3.35,4.68,5.03,5.68,8.08,11.19,14.82,24.54,50.77,68.11,76.53,91.91,92.35,96.07,98.45,103.19
174,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1.34,2.41,5.58,9.15,13.16,17.13,22.49,28.71,32.33
178,Congo,0,0,0,0,0,0,0.04,,0.11,0.16,2.23,4.67,6.74,9.81,11.13,15.8,25.29,34.52,47.1,74.8,91.98,93.84,101.18
184,Cook Islands,0,0,0,0,0,0,1,1.08,1.59,2.84,3.1,5.23,8.19,18.1,19.13,20.64,27.48,33.32,33.34,34.49,38.46,46.74,54.07
188,Costa Rica,0,0,0.09,0.14,0.21,0.54,1.31,1.76,2.91,3.61,5.4,8.17,12.31,18.71,21.79,25.56,32.95,33.87,41.72,42.48,65.14,92.2,128.32
384,Cote d'Ivoire,0,0,0,0,0,0,0.09,0.23,0.57,1.58,2.85,4.31,5.98,7.34,9.44,13.04,22.18,40.05,55.03,68.14,79.03,86.06,96.27
191,Croatia,0.01,0.04,0.14,0.25,0.47,0.72,1.39,2.6,3.98,6.5,22.93,39.16,51.78,56.93,63.73,82.16,99.13,113.75,103.09,105.99,111.92,116.37,113.31
192,Cuba,0,0,0,0,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.16,0.32,0.67,1.2,1.36,1.76,2.94,5.52,8.91,11.69,14.95
196,Cyprus,0.41,0.66,1.22,1.87,2.74,5.2,8.11,10.32,12.82,16.39,23.14,32.69,42.65,55.28,64.8,75.78,82.78,92.97,94.4,89.64,93.7,97.71,98.39
203,Czech Republic,0,0.01,0.05,0.14,0.29,0.47,1.94,5.11,9.39,18.95,42.43,67.94,84.33,95.19,105.69,115.22,120.93,128.26,132.79,125.12,123.63,126.11,122.79
180,Democratic Republic of the Congo,0,0,,,,0.02,0.02,0.02,0.02,0.02,0.03,0.29,1.07,2.3,3.57,4.78,7.47,10.85,15.91,14.73,17.92,23.09,28.01
208,Denmark,2.88,3.41,4.08,6.89,9.66,15.71,25.05,27.36,36.44,49.4,62.99,73.94,83.38,88.53,95.68,100.55,107.08,115.34,119.28,123.69,115.69,116.75,117.96
262,Djibouti,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.03,0.4,1.96,2.95,4.34,5.45,5.44,8.28,13.19,14.77,18.64,21.32,22.65
212,Dominica,0,0,0,0,0,0,0.65,0.78,0.92,1.14,1.72,11.1,17.57,34.37,60.56,75.44,104.08,130.05,133.51,145.02,155.8,160.95,161.53
214,Dominican Republic,0.04,0.08,0.1,0.14,0.27,0.71,1.02,1.73,2.52,5.02,8.21,14.55,19.19,23.26,27.76,39.11,49.01,57.84,74.6,88.09,89.58,87.22,88.75
218,Ecuador,0,0,0,0,0.17,0.48,0.52,1.07,2.03,3.15,3.91,6.84,12.23,18.46,26.83,46.52,62.21,71.77,83.12,92.85,102.18,104.55,110.71
818,Egypt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.14,0.72,2.01,4.06,6.41,8.11,10.49,18.37,23.82,39.11,52.71,69.44,87.11,101.08,115.29
222,El Salvador,0,0,0,0.03,0.09,0.24,0.4,0.69,2.33,8.65,12.52,14.38,14.84,19.14,30.4,39.86,63.41,100.6,113.4,122.82,124.34,133.54,138.07
226,Equatorial Guinea,0,0,0,0,0,0,0.01,0.06,0.06,0.12,0.96,2.79,5.77,7.26,10.5,15.94,19.18,23.29,27.18,29.36,57.01,66.49,67.67
232,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.9,1.33,1.76,2.2,2.77,3.53,4.47,5.47
233,Estonia,0,0.04,0.16,0.48,0.94,2.11,4.9,10.28,17.76,28.04,40.63,47.78,64.94,77.68,93.12,107.39,123.41,125.24,121.03,117.06,123.24,138.98,154.55
231,Ethiopia,0,0,0,0,0,0,0,0,0,0.01,0.03,0.04,0.07,0.07,0.21,0.55,1.14,1.55,2.46,4.99,8.26,16.67,23.72
234,Faeroe Islands,0,3.04,3.73,3.57,4.45,5.88,7.52,10.75,14.69,23.88,37.1,52.82,74,80.1,86.19,87.1,103.07,107.41,112.89,117.21,122.05,122.79,124.3
238,Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,76.71,100,99.93,108.32,107.86,108.56,113.87
242,Fiji,0,0,0,0,0.14,0.28,0.47,0.66,1,2.9,6.78,9.93,11.01,13.44,17.36,24.92,34.38,63.46,71.12,75.09,81.09,83.72,98.06
246,Finland,5.17,6.37,7.67,9.66,13.28,20.34,29.31,42.08,55.25,63.41,72.07,80.53,86.91,91.11,95.44,100.49,107.67,114.92,128.47,144.15,156.4,166.02,172.51
250,France,0.5,0.66,0.76,1,1.53,2.25,4.24,9.98,19.16,36.48,49.2,62.29,64.55,69.29,73.51,78.84,84.17,89.66,93.36,92.75,92.03,94.76,98.14
258,French Polynesia,0,0,0,0,0,0.53,1.23,2.42,4.83,9.39,16.79,27.87,21.33,24.2,38.15,47.08,58.89,66.9,70.74,77.8,79.73,81.39,81.67
266,Gabon,0,0,0.03,0.12,0.24,0.37,0.61,0.83,0.82,0.74,9.71,11.87,21.64,22.77,36.41,53.74,64.27,82.11,89.64,98.14,106.94,154.49,187.36
270,Gambia,0,0,0.02,0.04,0.07,0.13,0.27,0.4,0.41,0.42,0.43,4.12,7.27,10.53,11.98,16.46,26.13,50.29,71.28,78.07,85.53,78.89,83.64
268,Georgia,0,0,0,0,0,0,0.05,0.61,1.23,2.77,4.1,6.43,10.89,15.56,18.6,26.23,38.35,58.87,62.7,64.87,91.45,102.34,109.16
276,Germany,0.34,0.67,1.21,2.19,3.06,4.55,6.71,10.05,16.89,28.47,58.53,68.13,71.73,78.56,86.43,96.04,103.78,116.62,127.95,127.42,127.04,132.3,131.3
288,Ghana,0,0,0,0.01,0.02,0.04,0.07,0.12,0.23,0.37,0.68,1.24,1.92,3.86,8.03,13.28,23.49,33.48,49.73,63.42,71.49,84.78,100.28
300,Greece,0,0,0,0.46,1.45,2.56,4.95,8.66,18.81,35.69,54,72.19,84.11,80.43,83.65,91.75,97.87,109.23,122.21,117.38,108.22,106.48,116.94
304,Greenland,0,0,0.31,0.79,1.73,3.69,7.41,11.63,15.93,24.14,26.9,28.16,35.19,52.33,68.43,81.27,94.1,115.85,97.38,93.31,100.09,102.52,103.76
