CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
192,Cuba,33.9,,,,,,,22.8,22.8,27.6,27.6,27.6,27.6,36,36,36,36,36,43.2,43.2,43.2,43.2,45.2,45.2
196,Cyprus,1.8,,,,,,,5.4,5.4,5.4,5.4,7.1,10.7,10.7,10.7,16.1,16.1,14.3,14.3,14.3,12.5,12.5,10.7,10.7
203,Czech Republic,,,,,,,,15,15,15,15,15,15,17,17,17,17,15.5,15.5,15.5,15.5,22,22,22
200,Czechoslovakia [former],29.5,,,,,,,,,,,,,,,,,,,,,,,
180,Democratic Republic of the Congo,5.4,,,,,,,5,,,,,,,12,12,12,8.4,8.4,8.4,8.4,8.4,8.9,8.9
208,Denmark,30.7,,,,,,,33,33,37.4,37.4,37.4,38,38,38,38,36.9,36.9,38,38,38,38,39.1,39.1
262,Djibouti,0,,,,,,,0,,,0,0,0,10.8,10.8,10.8,10.8,10.8,13.8,13.8,13.8,13.8,13.8,13.8
212,Dominica,10,,,,,,,9.4,9.4,9.4,9.4,,18.8,18.8,18.8,19.4,12.9,12.9,16.1,18.8,14.3,12.5,12.5,12.5
214,Dominican Republic,7.5,,,,,,,11.7,11.7,16.1,16.1,16.1,16.1,17.3,17.3,17.3,17.3,19.7,19.7,19.7,19.7,20.8,20.8,20.8
218,Ecuador,4.5,,,,,,,,3.7,17.4,17.4,14.6,14.6,16,16,16,16,25,25,27.6,32.3,32.3,32.3,32.3
818,Egypt,3.9,,,,,,,2,2,2,2,,2.4,2.4,2.4,2.9,2,2,1.8,1.8,1.8,12.7,2,2
222,El Salvador,11.7,,,,,,,10.7,15.5,16.7,16.7,9.5,9.5,9.5,10.7,10.7,10.7,16.7,16.7,19,19,19,19,26.2
226,Equatorial Guinea,13.3,,,,,,,8.8,8.8,8.8,5,5,5,5,5,18,18,18,18,6,10,10,10,10
232,Eritrea,,,,,,,,21,21,21,14.7,14.7,14.7,22,22,22,22,22,22,22,22,22,22,22
233,Estonia,,,,,,,,12.9,10.9,10.9,17.8,17.8,17.8,17.8,18.8,18.8,18.8,18.8,20.8,20.8,22.8,22.8,19.8,20.8
231,Ethiopia,,,,,,,,2,2,2,2,7.7,7.7,7.7,7.7,7.7,21.4,21.9,21.9,21.9,21.9,27.8,27.8,27.8
242,Fiji,,,,,,,,4.3,4.3,4.3,11.3,,5.7,5.7,5.7,8.5,8.5,,,,,,,
