CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
804,Ukraine,,,,,,,,3.8,3.8,7.9,7.8,7.8,7.8,5.3,5.3,5.3,5.3,8.7,8.2,8.2,8,8,8,9.4
810,Union of Soviet Socialist Republics [former],15.6,,,,,,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,0,,,,,,,0,0,0,0,0,0,0,0,0,0,22.5,22.5,22.5,22.5,22.5,17.5,17.5
826,United Kingdom,6.3,,,,,,,9.5,18.2,18.2,18.4,18.4,17.9,17.9,17.9,18.1,19.7,19.7,19.5,19.5,19.5,22,22.3,22.5
834,Tanzania,,,,,,,,17.5,17.5,17.5,16.4,,22.3,22.3,21.4,21.4,30.4,30.4,30.4,30.4,30.7,36,36,36
840,United States,6.6,,,,,,,11.7,11.7,13.3,13.3,14,14,14.3,14.3,14.9,15.2,16.3,16.8,17,16.8,16.8,16.8,17.8
858,Uruguay,6.1,,,,,,,7.1,7.1,7.1,12.1,12.1,12.1,12.1,12.1,12.1,11.1,11.1,12.1,12.1,14.1,15.2,12.1,12.1
860,Uzbekistan,,,,,,,,6,6,6,6.8,7.2,7.2,7.2,7.2,17.5,17.5,17.5,17.5,17.5,22,22,22,22
548,Vanuatu,4.3,,,,,,,,,,0,0,0,1.9,1.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,1.9,0
862,Venezuela,10,,,,,,,5.9,5.9,,12.1,9.7,9.7,9.7,9.7,9.7,17.4,18,18.6,18.6,17.5,17,17,17
704,Viet Nam,17.7,,,,,,,18.5,26.2,26.2,26,26,26,27.3,27.3,27.3,27.3,27.3,25.8,25.8,25.8,25.8,24.4,24.4
887,Yemen,4.1,,,,,,,0.7,,0.7,0.7,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
890,Yugoslavia [former Socialist Federal Republic],18.2,,,,,,,,,,,,,,,,,,,,,,,
894,Zambia,6.6,,,,,,,9.7,9.7,10.3,10.1,10.1,12,12,12,12,12.7,14.6,15.2,15.2,14,14,11.5,11.5
716,Zimbabwe,11,,,,,,,14.7,14.7,14.7,14,9.3,10,10,10,10,16,16.7,16,15.2,15,15,15,15
