CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
308,Grenada,,14.1,,,,,20,,18.4,,,,,,,,,,,,,
320,Guatemala,,,,,48.5,,,,45.3,,46.7,,55.4,50.3,49.9,,,,,,,
340,Honduras,48.9,51.1,47.9,,46.4,45.7,49,48.7,47.3,49.2,,47.7,50.7,50.8,48.2,47.7,49.9,50.1,49.5,51.9,53.3,
348,Hungary,,,7.2,7.5,8.1,8.8,9.2,8.8,8.1,11.4,8.8,8,7.9,7.9,8.1,7.7,7.1,7,7,7.1,6.8,6.8
352,Iceland,,13.4,12.6,12.6,13,12.3,10.6,11.2,11.5,11,10.5,10.7,10.5,8.8,8.8,8.7,9.4,8.7,8,7.7,8.4,8.2
356,India,,,,,83.1,,,,,,83.4,,,,,83.1,,,,,80.8,
360,Indonesia,,,,,,,,62.8,65.4,64,64.9,63.7,64.7,66.1,64.9,63.4,63.1,63.1,64.4,63.7,61.6,57.2
364,Iran,,,,,,,41.1,,,,,,,,,,,42.7,42,,,
372,Ireland,19.9,18.3,18.3,17.3,16.9,16.3,15.8,15.3,14.1,13.4,13.1,12.4,12.1,11.9,12.1,11.4,10.8,11.3,11.7,12.2,11.9,11.8
376,Israel,,,,,,7.1,7.5,7.3,7.3,7.6,7.1,6.9,7,7.3,7.2,7.5,7.9,7.4,7.2,,,
380,Italy,27.3,27.4,15.7,16.6,16.4,16.4,16.2,16.1,16.3,15.7,15.4,15.7,15.3,15,20.7,19.5,19.3,19.1,18.6,18.2,18.5,18.3
388,Jamaica,,42.3,42,39.6,38.9,37.3,37.6,36.7,37.6,37.8,37.9,37.3,35.8,35.8,36.1,34.5,35.4,33.4,36.5,,,
392,Japan,19.2,18.2,17.2,16.1,15.7,15.3,14.7,14.5,14.4,14.3,13.8,13.1,12.7,12.5,12.4,12.1,11.2,10.8,10.5,,,
400,Jordan,,,,,,,,,,,,4.2,2.6,1.8,3.3,3,2.8,0.9,2.1,9.6,9.6,9.4
398,Kazakhstan,,,,,,,,,,,,40,38.1,37.5,35.8,34.4,33.6,32.8,31.9,31.3,31,30.4
404,Kenya,,,,,,,,,,63.4,,,,,,,,,,,,
410,"Korea, Republic of",,,,,,,,,,,30,29.5,28.7,27.6,26.5,26.3,25.8,25.2,24.8,,,
414,Kuwait,,,,,,,,,,,,,,,,2.1,,,,,,
417,Kyrgyzstan,,,,,,,,,,,,,51.5,51,49.8,48.5,47.3,,,,,
418,Lao People's Democratic Republic,,,,,,90.1,,,,,,,,,,88,,,,,,
428,Latvia,,,,,,,11.5,16.2,14.1,12.4,10.6,10.7,10.6,9.8,9.6,8.2,8.2,7.4,6.8,7.7,7.5,7.7
422,Lebanon,,,,,,,,,,,,,,,31.8,,,27.8,,,,
426,Lesotho,,,,,,,,,,68.8,,,,,,,,,,,,
430,Liberia,,,,,,,,,,,,,,,,,,80.1,,,78.7,
440,Lithuania,,,,,,,,,16,18.4,18,17.7,18.6,18.6,17,14.9,13.5,11.6,9.4,9.6,8.8,8.2
442,Luxembourg,8.2,7.2,6.5,6.6,6.7,4.9,3.4,3.6,4,3.7,3.4,2.8,2.8,6.4,5.4,5.2,5.2,4.3,4.1,5.9,4.9,5.9
450,Madagascar,,,,84.3,,,,,,,,,,82.2,,86.4,,,,,,
458,Malaysia,,28.8,,,,24.9,24.7,22.9,23.7,23,22.8,21.3,20.3,20.4,21.8,21.2,21.9,22.3,21.9,21.5,21.7,
462,Maldives,46.3,,,,,53.9,,,,,50.3,,,,,,29.6,,,,,
466,Mali,,,,,,,,,,,,,,,86.4,,86.9,82.9,,,,
470,Malta,,,,,,,,,,,8.2,8.5,10.3,9.5,9.7,9.2,9.5,9.3,9,9.3,9.8,9.3
584,Marshall Islands,,,,,,,,,,26.7,,,,,,,,,,,,
480,Mauritius,11.5,,,,,,,,,,12.9,,,,16.7,16.7,16.2,16.8,16.3,15.9,16,15.1
484,Mexico,25.9,36.6,,40.6,,37.1,35.4,36.6,34.4,34.1,31.8,32,32.6,32.7,32.4,31,29.7,29.5,29.2,,,
496,Mongolia,,,,,,,,,,,56.6,,,59.7,,,,61.9,53.1,57.5,,
500,Montserrat,,12.6,,,,,,,,,,,,,,,,,,,,
504,Morocco,,,,,47.5,,,,55.3,55.7,,,56,55.8,58.1,57.7,51.9,51.1,51.9,50.5,50.3,51.5
508,Mozambique,,,,,,,,,,,,,,87.8,,,,,,,,
516,Namibia,,,,,42.2,,,29.6,,,27.7,27.1,,,21.1,,,,13.5,,,
524,Nepal,,,,,,,,,,,,71.6,,,,,,,,,,
528,Netherlands,8.9,8.2,8,8.3,8.4,8.7,8.4,8.4,7.7,7.6,8,8.2,8.2,7.8,8.4,8.6,8.9,9.2,9.4,9.7,11.1,11.2
554,New Zealand,,12.7,13,13.1,12.7,12.8,13.4,12.8,12.7,13.6,13.5,12.6,12.3,12.1,12.1,11.9,12.1,11.8,12.1,,,
558,Nicaragua,,,,,,,,,,,46.4,,,48.5,46.9,45.4,45.2,44.7,45.3,,47.1,
562,Niger,,,,,,,,,,,,,,,,84.8,,,,,,
578,Norway,,,,,,6.1,6.5,6.5,6.7,6,5.8,5.7,5.9,6,5.9,5.9,6.4,5.9,5.7,5.9,5.6,5.2
586,Pakistan,,,,,,64.9,64.9,62.5,63.9,63.9,63.6,63.6,59.3,59.3,61.2,61.2,61.9,61.8,63.1,,,
591,Panama,,34.1,32.5,30.7,28.6,29.5,29.7,30.9,29.9,30.3,30.5,30.8,31.6,32,30.7,31.8,30.5,27.7,27.2,32.2,30.9,29.3
600,Paraguay,,,,,,,,47.7,48.6,48.4,,49.3,53.4,51.6,52.8,48.8,49.2,46.8,44.5,46.2,43.2,42.3
608,Philippines,,,,,,,,,44.9,45.6,44.5,45.2,45.7,44.6,42.8,44.8,44.5,43.6,43.5,42.6,41.7,41.2
616,Poland,,,,28,27.3,25.9,25.4,24.4,23.1,23,23.5,24.2,24.4,23.5,22.7,21.8,20.4,19.4,18.9,18.6,18.6,18.4
620,Portugal,24.3,25.1,19.5,19.6,20.9,21.4,21.9,22.3,22,20.8,19.6,21.5,21.1,20.8,19.5,19.7,19,19,18.5,18.3,17.6,16
634,Qatar,,,,,,,,0.7,,,,,,,0.4,,,0.2,,0.1,,0.2
498,Republic of Moldova,,,,,,,,,,31.7,36.5,38.9,39.9,35.4,35.4,36.3,31.9,32.4,31.1,28.5,28.6,28.7
642,Romania,,26.8,32.9,34.3,33.8,37,35.8,37.2,38.8,40.8,42.4,42.8,36.6,36,32.3,33.5,32.1,32.2,31.2,31.4,33.1,31.5
643,Russian Federation,,,0.8,1.1,1.6,2,2.2,2.9,2.9,8.2,7.7,6,6,5.8,5.9,6.2,6,5.8,5.7,,,
646,Rwanda,,,,,,,92.5,,,,,,,,,,,,,,,
659,Saint Kitts and Nevis,,12.1,,,,,,,,,,8.5,,,,,,,,,,
662,Saint Lucia,,,,23.5,25.6,25.5,28.7,26.2,26.7,25.9,28.7,,,,,,,,,,,
670,Saint Vincent and the Grenadines,,20.2,,,,,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,,27.2,,,,,,,,,,,,,,,,,,,,
686,Senegal,,83.3,,,,,,,,,,77.7,,,,,,,,,,
