CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
36,Australia,0.34,0.38,0.37,0.35,0.34,0.34,0.27,0.27,0.27,0.26,0.27,0.25,0.26,0.25,0.25,0.25,0.3,0.32,0.32,0.29,0.32,0.34,0.36
40,Austria,0.11,0.18,0.11,0.11,0.17,0.27,0.23,0.24,0.22,0.24,0.23,0.34,0.26,0.2,0.23,0.52,0.47,0.5,0.43,0.3,0.32,0.27,0.28
56,Belgium,0.46,0.41,0.39,0.39,0.32,0.38,0.34,0.31,0.35,0.3,0.36,0.37,0.43,0.6,0.41,0.53,0.5,0.43,0.48,0.55,0.64,0.54,0.47
124,Canada,0.44,0.45,0.46,0.45,0.43,0.38,0.32,0.34,0.3,0.28,0.25,0.22,0.28,0.24,0.27,0.34,0.29,0.29,0.33,0.3,0.34,0.32,0.32
208,Denmark,0.94,0.96,1.02,1.03,1.03,0.96,1.04,0.97,0.99,1.01,1.06,1.03,0.96,0.84,0.85,0.81,0.8,0.81,0.82,0.88,0.91,0.85,0.84
246,Finland,0.65,0.8,0.64,0.45,0.31,0.31,0.33,0.32,0.31,0.33,0.31,0.32,0.35,0.35,0.37,0.46,0.4,0.39,0.44,0.54,0.55,0.53,0.53
250,France,0.6,0.62,0.63,0.63,0.62,0.55,0.48,0.44,0.38,0.38,0.3,0.31,0.37,0.4,0.41,0.47,0.47,0.38,0.39,0.47,0.5,0.46,0.46
276,Germany,0.42,0.39,0.37,0.35,0.33,0.31,0.32,0.28,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.36,0.36,0.37,0.38,0.35,0.39,0.39,0.38
300,Greece, , , , , , ,0.15,0.14,0.15,0.15,0.2,0.17,0.21,0.21,0.16,0.17,0.17,0.16,0.21,0.19,0.17,0.15,0.13
352,Iceland,0.03,0.12,0.07,0.11,0.1,0, , , ,0.09,0.1,0.13,0.15,0.17,0.18,0.18,0.27,0.27,0.47,0.35,0.29,0.21,0.22
372,Ireland,0.16,0.19,0.16,0.2,0.25,0.29,0.31,0.31,0.3,0.31,0.29,0.33,0.4,0.39,0.39,0.42,0.54,0.55,0.59,0.54,0.52,0.51,0.48
380,Italy,0.31,0.3,0.34,0.31,0.27,0.15,0.2,0.11,0.2,0.15,0.13,0.15,0.2,0.17,0.15,0.29,0.2,0.19,0.22,0.16,0.15,0.2,0.13
392,Japan,0.31,0.32,0.3,0.27,0.29,0.27,0.2,0.21,0.27,0.27,0.28,0.23,0.23,0.2,0.19,0.28,0.25,0.17,0.19,0.18,0.2,0.18,0.17
410,South Korea,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.05,0.07,0.04,0.06,0.05,0.06,0.06,0.1,0.05,0.07,0.09,0.1,0.12,0.12,0.14
442,Luxembourg,0.21,0.33,0.26,0.35,0.4,0.36,0.44,0.55,0.65,0.66,0.7,0.77,0.78,0.86,0.79,0.79,0.89,0.92,0.97,1.04,1.05,0.97,1
528,Netherlands,0.92,0.88,0.86,0.82,0.76,0.81,0.81,0.81,0.8,0.79,0.84,0.82,0.81,0.8,0.73,0.82,0.81,0.81,0.8,0.82,0.81,0.75,0.71
554,New Zealand,0.23,0.25,0.26,0.25,0.24,0.23,0.21,0.26,0.27,0.27,0.25,0.25,0.22,0.23,0.23,0.27,0.27,0.27,0.3,0.28,0.26,0.28,0.28
578,Norway,1.17,1.13,1.16,1.01,1.05,0.86,0.83,0.84,0.89,0.88,0.76,0.8,0.89,0.92,0.87,0.94,0.89,0.95,0.89,1.06,1.05,0.96,0.93
620,Portugal,0.24,0.3,0.35,0.28,0.34,0.25,0.21,0.25,0.24,0.26,0.26,0.25,0.27,0.22,0.63,0.21,0.21,0.22,0.27,0.23,0.29,0.31,0.27
724,Spain,0.2,0.24,0.27,0.28,0.28,0.24,0.22,0.24,0.24,0.23,0.22,0.3,0.26,0.23,0.24,0.27,0.32,0.37,0.45,0.46,0.43,0.29,0.15
752,Sweden,0.91,0.9,1.03,0.99,0.96,0.77,0.84,0.79,0.72,0.7,0.8,0.77,0.84,0.79,0.78,0.94,1.02,0.93,0.98,1.12,0.97,1.02,0.99
756,Switzerland,0.3,0.34,0.43,0.31,0.35,0.33,0.32,0.32,0.31,0.34,0.32,0.33,0.32,0.36,0.39,0.42,0.38,0.37,0.42,0.44,0.39,0.45,0.45
826,United Kingdom,0.27,0.32,0.31,0.31,0.31,0.29,0.27,0.26,0.27,0.24,0.32,0.32,0.31,0.34,0.36,0.47,0.51,0.36,0.43,0.51,0.57,0.56,0.56
840,United States,0.21,0.2,0.2,0.15,0.14,0.1,0.12,0.09,0.1,0.1,0.1,0.11,0.13,0.15,0.17,0.23,0.18,0.16,0.18,0.21,0.21,0.2,0.19
