CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
8,Albania, , , , , , , ,0.2, , , , ,0.6, ,0.5,0.9, , ,0.6, , , 
12,Algeria, , , , , ,6.8, , , , , , , , , , , , , , , , 
24,Angola, , , , , , , , , , ,54.3, , , , , , , , ,43.4, , 
32,Argentina, ,0.6,1.8,2.1,1.9,3.9,4.3,3.8,4,4.2,5.1,8.3,12.6,9.8,6.3,4.6,3.7,2.7,1.9,2,0.9, 
51,Armenia, , , , , , ,17.5, , ,18, ,19.8,15,10.6,7.4,4,3,3.5,1.3, ,2.5, 
31,Azerbaijan, , , , , ,16.3, , , , , ,6.3, , , , , , ,0.4, , , 
50,Bangladesh, , ,70.2, , , ,60.9, , , ,58.6, , , , ,50.5, , , , ,43.3, 
112,Belarus, , , ,0, ,0.4, , ,0.9, ,0.3,0.5,0.6, ,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1
84,Belize, , , ,9.1,8.9,14,9.7,12.5,11.3,12.2, , , , , , , , , , , , 
204,Benin, , , , , , , , , , , , , ,47.3, , , , , , , , 
64,Bhutan, , , , , , , , , , , , , ,26.2, , , ,10.2, , , , 
68,Bolivia, ,5.2, ,8.5, , , ,17.2, ,23.3,26.9,21.4,22, , ,18.2,16.2,13.1,15.6, , , 
70,Bosnia and Herzegovina, , , , , , , , , , , ,0.1, , ,0.1, , ,0, , , , 
72,Botswana, , , , ,31.2, , , , , , , , , , , , , , , , , 
76,Brazil,17.2, ,17.9,17, ,11.3,12.4,12.3,11,11.4, ,11.8,10.6,11.2,9.8,8.5,7.6,7.1,6,6.1, , 
100,Bulgaria, , ,0, ,0.2,2, ,0.3, , , ,2.6, ,0, , , ,0, , , , 
854,Burkina Faso, , , , ,71.2, , , ,70, , , , ,56.5, , , , , ,44.6, , 
108,Burundi, , ,84.2, , , , , ,86.4, , , , , , , ,81.3, , , , , 
116,Cambodia, , , , ,44.5, , , , , , , , , ,37.7, , ,32.2,22.8,18.6, , 
120,Cameroon, , , , , , ,24.9, , , , ,10.8, , , , , ,9.6, , , , 
132,Cape Verde, , , , , , , , , , , , ,21, , , , , , , , , 
140,Central African Republic, , ,83.2, , , , , , , , , , ,62.4, , , , ,62.8, , , 
148,Chad, , , , , , , , , , , , , ,61.9, , , , , , , , 
152,Chile,5.1, ,2.7, ,3.1, ,2.2, ,2.4, ,2.3, , ,2, , ,1.1, , ,1.4, , 
156,China,60.2, ,63.8,53.7,59.8,54.1,36.4,47.8,48,35.6, , ,28.4, , ,16.3, , ,13.1,11.8, , 
170,Colombia, ,8.2,6.3, , , ,13, , ,16.2,17.9,19.2,20.3,19.6,19,12.7,11,8.8,11.3,9.7,8.2, 
174,Comoros, , , , , , , , , , , , , , ,46.1, , , , , , , 
178,Congo, , , , , , , , , , , , , , , ,54.1, , , , , , 
188,Costa Rica,8.5,9.7,8.1,6.9,5.8,6,7,5.3,4.2,5.4,5.5,6,6,5.8,5.3,3.9,4,2.2,2.4,3.1, , 
384,Cote d'Ivoire, , , ,17.8, ,21.1, , ,24.1, , , ,23.3, , , , , ,23.8, , , 
191,Croatia, , , , , , , , ,0.1,0.2,0.1,0.1, , ,0.1, , , ,0.1, , , 
203,Czech Republic, , , ,0, , ,0.1, , , , , , , , , , , , , , , 
180,Democratic Republic of the Congo, , , , , , , , , , , , , , , , ,87.7, , , , , 
262,Djibouti, , , , , , , , , , , , ,18.8, , , , , , , , , 
214,Dominican Republic, , ,4.7, , , ,4.7,5, , ,5.2,3.7,5.7,6.6,8.1,6.1,4.2,3.8,3.3,3,2.2, 
218,Ecuador, , , , ,14.1,10, , ,14.5,23.9,20.7, , ,12.2, ,9.1,6.1,7.2,6.5,6.4,4.6, 
818,Egypt, ,4.5, , , , ,2.5, , , ,1.8, , , , ,2, , ,1.7, , , 
222,El Salvador, ,17.1, , , ,10,11.5, ,17.4,13.8, ,14.4,14.8,13.3,11.5,11.6,5.3,6.6,5.4,9, , 
233,Estonia, , , ,0.8, ,0.3, , ,0.1, ,0.6,0.5,0.5,0,0.5, , , , , , , 
231,Ethiopia, , , , , ,60.5, , , , ,55.6, , , , ,39, , , , , ,30.7
242,Fiji, , , , , , , , , , , , , ,29.2, , , , , ,5.9, , 
266,Gabon, , , , , , , , , , , , , , , ,4.8, , , , , , 
270,Gambia, , , , , , , , ,65.6, , , , ,33.6, , , , , , , , 
