CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
226,Equatorial Guinea,,,,0.44,0.53,,,,,0.37,0.44,,0.58,,,,,,,,,
232,Eritrea,,,,0.86,0.74,0.73,0.73,0.71,,0.68,0.69,0.7,0.64,0.64,0.56,0.59,0.6,0.71,0.71,0.71,0.76,0.78
233,Estonia,,,1.08,1.06,1.12,1.11,1.1,,1.05,1.04,1.04,1.03,1.02,1.04,1.02,1.01,1.02,1.02,1.03,1.02,1,
231,Ethiopia,,0.76,0.83,0.87,0.84,0.79,0.75,,,0.67,0.66,0.66,0.62,0.57,0.57,0.6,0.63,0.67,0.72,0.77,0.82,0.87
242,Fiji,,0.97,1.01,,,,,,1.07,1.11,1.09,1.07,1.08,1.07,1.07,,1.09,1.11,1.07,1.09,,1.08
246,Finland,1.18,1.19,1.21,1.18,1.17,1.15,1.17,1.14,1.1,1.09,1.09,1.1,1.11,1.1,1.05,1.05,1.04,1.04,1.05,1.05,1.05,1.05
250,France,1.07,1.06,1.05,1.04,1,0.99,0.99,0.99,1,1,1,1.01,1,1.01,1,1,1,1,1,1,1.01,1.01
254,French Guiana,1.44,1.47,1.07,1.1,1.08,1.06,1.08,1.11,,,,,,,,,,,,,,
258,French Polynesia,1.37,1.19,1.19,1.27,,,,,,,,,,,,,,,,,,
266,Gabon,,,,,0.89,0.82,0.89,,,0.86,,,,,,,,,,,,
270,Gambia,0.47,0.49,0.52,0.52,0.53,0.54,0.61,,,,,,,,,,,,0.92,0.95,0.95,
268,Georgia,,0.97,0.95,0.93,0.94,0.91,0.97,0.97,,0.98,0.99,1,0.98,0.98,0.99,0.97,0.99,,0.95,,,
276,Germany,,,0.98,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.97,0.95,0.95,
288,Ghana,0.66,,,,,0.73,,,,0.81,0.82,0.85,0.85,0.86,0.84,0.84,0.86,0.88,0.89,0.9,,0.91
300,Greece,0.98,0.98,0.99,1.01,0.96,1.02,1.03,1.04,1.04,1.04,1.06,1.05,1.02,1.02,1,0.98,0.97,0.95,,,0.96,
308,Grenada,1.11,1.16,1.2,1.18,,,,,,,,,1.15,0.98,1.08,1.02,,0.97,0.91,1,1.03,
312,Guadeloupe,,1.17,1.14,1.04,1.11,1.09,,,,,,,,,,,,,,,,
320,Guatemala,,,,0.89,,,0.88,,0.89,0.84,0.88,0.89,0.88,0.89,0.9,0.91,0.91,0.92,0.93,0.93,0.92,
324,Guinea,0.34,0.34,,0.34,0.34,,0.36,,,0.37,,0.4,0.42,0.46,0.46,0.51,0.53,0.57,0.59,0.59,,0.64
624,Guinea-Bissau,,,,,,,,,,,0.55,,,,,,,,,,,
328,Guyana,,,,,,,,,,1.01,,1.01,,,1.05,1.03,,1,1.08,1.07,1.11,1.1
340,Honduras,,1.23,,,,,,,,,,,,,,,1.23,1.25,1.27,,1.23,1.22
348,Hungary,1.01,1.01,1.01,,1.03,1.04,1.03,1.03,1.02,1.01,1.01,1.01,1.01,1,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98
