CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,176.2,169.3,162.7,157.1,152.1,147.9,144.6,141.7,139.1,136.6,133.9,131,127.7,124.4,121,117.7,114.5,111.5,108.8,106.2,103.7,101.2,98.5
8,Albania,42.5,41.2,39.8,38.4,37.1,35.8,34.4,32.9,31.5,30,28.6,27.1,25.7,24.5,23.3,22.2,21.2,20.3,19.5,18.8,18.1,17.4,16.7
12,Algeria,49.7,48.3,47.2,46.1,44.8,43.5,41.9,40.2,38.4,36.6,34.7,32.8,31,29.2,27.7,26.3,25.1,24.1,23.1,22.3,21.5,20.8,20
20,Andorra,8.3,7.9,7.5,7.1,6.7,6.4,6.1,5.8,5.5,5.3,5,4.8,4.6,4.5,4.3,4.1,4,3.8,3.7,3.6,3.5,3.3,3.2
24,Angola,212.8,212.1,211.3,210.5,210.1,209.5,208.7,207.5,206.4,205,203.4,201.3,199.6,197.6,196.4,194.2,191.1,187.1,182.6,177.9,173.1,168.5,163.5
28,Antigua and Barbuda,23.5,22.6,21.7,20.9,20.1,19.4,18.6,17.9,17.1,16.4,15.7,15.1,14.5,13.9,13.3,12.8,12.3,11.8,11.4,11,10.6,10.2,9.9
32,Argentina,27.5,26.6,25.7,24.9,24.1,23.4,22.7,22,21.4,20.8,20.2,19.7,19.2,18.5,17.8,17.1,16.5,15.9,15.5,15.2,14.8,14.5,14.2
51,Armenia,49.4,47.1,44.9,42.7,40.6,38.6,36.7,34.9,33.2,31.6,30.1,28.6,27.2,25.9,24.6,23.4,22.3,21.1,20.1,19.1,18.2,17.3,16.4
36,Australia,9.2,8.6,8.1,7.7,7.3,7,6.8,6.6,6.5,6.4,6.2,6.1,6,5.9,5.8,5.6,5.5,5.3,5.2,5.1,5,4.9,4.9
40,Austria,9.5,9,8.5,8,7.4,6.8,6.4,6,5.8,5.6,5.5,5.4,5.3,5.2,5,4.8,4.6,4.4,4.3,4.2,4.2,4.1,4
31,Azerbaijan,92.8,92.5,92.3,92.1,91.4,90,87.9,84.9,81,76.7,72,67.3,62.8,58.6,54.6,51.2,48.1,45.3,42.7,40.5,38.5,36.7,35.2
44,Bahamas,23.2,22.1,21.1,20.1,19.3,18.5,17.9,17.4,17.1,17.1,17.2,17.4,17.7,18,18.2,18.3,18.3,18.2,18.1,17.9,17.6,17.2,16.9
48,Bahrain,23.2,22.7,21.9,20.9,19.5,18,16.6,15.2,14.1,13.3,12.6,12.2,11.8,11.6,11.4,11.2,11,10.8,10.6,10.3,10.1,9.8,9.6
50,Bangladesh,143.6,137.7,131.7,125.7,119.8,113.8,108.1,102.5,97.2,92.3,87.7,83.6,79.7,75.8,71.8,67.7,63.4,59.1,54.9,50.9,47.2,43.8,40.9
52,Barbados,17.6,17,16.4,16,15.7,15.6,15.7,16,16.4,17,17.7,18.4,19.1,19.6,20,20.2,20.2,20.1,19.9,19.6,19.3,18.8,18.4
112,Belarus,16.6,16.6,16.8,17.1,17.5,17.9,18,17.8,17,15.8,14.4,13,11.9,10.9,10.2,9.4,8.7,7.9,7.3,6.6,6.1,5.6,5.2
56,Belgium,10,9.6,9.2,8.7,8.2,7.6,7.1,6.7,6.3,6.1,5.8,5.6,5.4,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2
84,Belize,43.4,40.7,38.3,36,34,32.1,30.4,28.8,27.4,26.1,25,24,23.2,22.5,21.9,21.4,20.9,20.5,20.1,19.7,19.3,18.8,18.3
204,Benin,180.7,175.4,170,165.2,161,158.2,156.2,154.4,152.9,150.5,147.4,143.2,138,132.3,126.2,119.9,113.9,108.6,104.2,100.1,96.2,92.8,89.5
