CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
191,Croatia,43.2,43.8,44.8,45.7,46.4,46.6,46.7,46.9,47.6,47.7,47,46.7,46.9,46.1,45.7,45.9,46.9,45.5,45.8,47.1,47,46.6
192,Cuba,,,,,,42.3,42,42.3,42.9,43.3,43.3,42.8,42.3,42.8,42.6,42.6,42.7,43.7,43.4,44.8,44.8,
196,Cyprus,,,,,,41.3,41.6,42,42.4,43.2,44.4,47.4,48.2,49.3,48.2,47.7,48.1,49.1,48.7,50,50.8,51.4
203,Czech Republic,51,48.3,45.7,46,46.4,46.3,46.3,46.2,46.2,46.5,46.5,46.6,46.7,46.8,47.1,46.6,46.4,46.3,46,45.9,46.1,46.1
180,Democratic Republic of the Congo,25.9,,,,,,,,,,,,,,,,,,,,,
208,Denmark,48,48.2,48.4,48.7,47.7,46.5,47.3,47.6,48.1,48.3,48.5,48.9,49,48.3,48.8,48.7,48.8,49,49.3,49.5,50,49.7
262,Djibouti,,,,,,,,,,,,,26.7,,,,,,,,,
212,Dominica,,39.7,,,,,,46.8,,44,,43.8,,,,,,,,,,
214,Dominican Republic,,31.5,31.3,31.4,32.6,34,32.3,32.1,34.6,34.6,37.3,36.9,38.2,39,38,37.7,39.3,38.8,,40.6,41.8,
218,Ecuador,30.9,31.5,33.4,32,32.9,33.3,33.3,33.8,33.3,39,39.3,38.7,38.1,,39.2,40.2,38.7,,,,,
818,Egypt,20.5,18.7,17.8,18.8,18.9,18.9,,18.9,20,20.9,19,20.7,22.4,19.9,18.8,17.7,18.1,19,18,18.1,18,
222,El Salvador,,,,,,30,28.7,29.2,36.1,36.7,32.3,31.3,33.5,33,30.8,32.5,33.1,32.9,,33.2,32.8,
226,Equatorial Guinea,10.5,,,,,,,,,,,,,,,,,,,,,
232,Eritrea,,,,,,,31.1,,,,,,,,,,,,,,,
233,Estonia,52.3,51.7,51.2,51.4,51.1,50.8,51.3,50.9,51.4,51.6,51.7,51.7,51.5,51.5,52.2,52.6,52.5,52.3,51.8,53.9,54,53
231,Ethiopia,,,,,,,,,,40.9,,,,,40.6,43.8,47.3,,,39.7,41.6,
234,Faeroe Islands,,,,,,,,,,,,,,,,45.8,,,,,,
242,Fiji,29.9,,,30.3,,,31.5,32.6,34,34.9,33.2,,,,,29.6,,,,,,
246,Finland,50.6,51.4,52.2,52.1,51.9,51.1,50.6,50.3,49.8,50.3,50.3,50.2,50.7,50.6,50.7,50.9,51,51,50.7,51.5,51.3,51.2
250,France,44.7,45,45.7,46.4,46.2,46.3,47.2,47.3,47.4,47.4,47.4,47.5,47.9,48.2,48.3,48.6,48.9,49.3,49.2,49.6,49.7,49.7
254,French Guiana,36.1,38.2,,,,,,,,,,,,,,,,,,45.9,,
258,French Polynesia,,,,,,42.3,42.8,42.4,41.9,41.7,42.4,41.8,42.5,42.2,42.7,42.5,42.8,42.7,,43.5,43.8,
266,Gabon,,,,29.3,,,,,,,,,,,,,,,,,34.5,
270,Gambia,,,,,,,,,33.9,31.7,,,,,,,,,,,,
268,Georgia,,,,,,,,,49.4,49.2,,,49.6,48.9,50.3,48.5,48.5,47.8,46.2,46.7,48.5,
276,Germany,,42.7,42.6,42.7,43,43,43.7,44,44.2,44.8,45.1,45.5,45.9,46.4,46.6,46.6,46.9,46.9,46.8,47.5,47.7,47.9
288,Ghana,,,,,,,,,,,31.7,,,,,,,,,,,
292,Gibraltar,34.5,32.8,33.9,37,38.4,37.7,36.8,37.2,37.7,39.3,39.7,39.9,40.2,41.6,41.5,41.9,41.5,41,,41.2,40.8,
300,Greece,35,34.8,35.9,36.3,36.4,37.6,37.7,38.8,38,38.8,39.1,39.6,39.8,40.1,40.9,41,41.6,42,42.2,43,43.4,43.8
304,Greenland,,,,,,,49.9,49.7,49.7,49.4,48.8,49.6,49.1,49.4,49.5,49.3,,,,,,
308,Grenada,,,,,40.4,,42.6,,42.6,,,,,,,,,,,,,
312,Guadeloupe,,,,,,,,,,46.6,,,45.7,,,,,,,54.2,,
316,Guam,,,,,,43.3,43.8,45.9,45.2,45.3,45.6,45.7,45.8,42.4,43.3,44.5,44.6,44.1,43.3,43.1,42.9,44.7
320,Guatemala,36.8,38.4,,,,,,,,,,,31.7,,,,,,,,30,
324,Guinea,,,,,,,,,,,,,,,,,,,,18.3,18.3,
624,Guinea-Bissau,10.8,,,,,,,,,,,,,,,,,,,,,
328,Guyana,,,,,,,,38.5,,,,,34.7,,,,,,,,,
332,Haiti,44.2,,,,,,,,,,,,,,,,,,,,,
340,Honduras,41.4,,40.8,,,,42.6,43.2,42.4,42.4,,42,40.9,40.6,42.5,41.5,42.2,41.9,,,,
348,Hungary,,,49.2,49.4,48.9,48,48,47.5,48.1,48.7,48.6,48.5,48.4,49.1,48.9,48.7,48.3,48,48.4,48.6,49.2,48.8
352,Iceland,,52.6,52.2,52.8,53.6,54,52.7,51.9,52.5,52.6,52.2,52.3,53,52.5,51.8,52.2,50.9,50,49.4,51.3,51.8,51.5
356,India,12.7,13,13.3,13.7,14.1,14.4,14.9,15.5,16,16.3,16.6,16.8,17.3,17.6,17.9,18.1,,,,,19.3,
360,Indonesia,29.2,30.1,30.4,30.3,30.1,29,29.6,30,31.3,31.1,31.7,30.7,29.7,29.5,29,30.3,31.3,30.9,32.4,33.5,32.9,
364,Iran,10.5,10.8,11.2,11.6,12,,,14.8,15.4,14.1,13.6,11.6,12,12.1,13,16.1,,,,15.3,15.3,
368,Iraq,,,,,,,,,,,,,,,16,,15.3,,12.1,,,
372,Ireland,41.7,41.4,42.8,43.4,44,44.4,44.7,45.2,45.7,46.1,46.3,46.5,47.5,47.4,47.5,47.7,47.5,48.2,49.2,51.8,52.1,51.9
376,Israel,43,42.9,43.6,44.1,44.8,45.5,46.1,46.6,47.5,48,48.3,48.4,48.7,48.9,48.7,49.3,49,49,49.3,49.8,50,49.5
380,Italy,35.9,36,36.4,36,36.4,37,37.7,38,38.5,39.1,39.8,40.6,40.9,41.2,42.7,42.6,42.8,43,43.5,43.9,44.3,44.7
388,Jamaica,47.3,47.2,47.5,48.4,48.3,47.3,46.9,46.2,46.6,45.2,45,44.9,46.2,46.3,45.2,45.6,45.8,46.3,48.2,,,
392,Japan,38,38.4,38.6,38.7,38.9,38.9,39.2,39.5,39.6,39.7,40,40.4,40.6,40.8,41.2,41.3,41.6,41.6,41.8,42.3,42.6,42.7
400,Jordan,,11,11.3,11.5,11.7,12,12.2,13.8,14,14.2,14.4,14.1,14.9,13.9,,13.7,15.5,15.8,15.7,,,
398,Kazakhstan,,,,,,,,,,,,48.5,48.1,48.7,49.4,49.1,49.9,50.1,50,49.8,49.5,
404,Kenya,21.4,22.2,24.2,23,25.5,26.6,29.4,32.2,,,,,,,,,,,,,,
296,Kiribati,,,,,,,,,,,36.8,,,,,38.5,,,,,,
408,"Korea, Democratic People's Republic of",40.7,,,,,,,,,,,,,,,,,,,,,
410,"Korea, Republic of",38.1,38,37.8,37.6,38,38,38.5,39.1,38.3,39.3,40.1,40.8,41.1,41.2,41.6,41.8,42,42.1,42.2,42.1,42.4,42.5
414,Kuwait,,,,,,,,23.5,23.2,,,,,,,,,,,,,
417,Kyrgyzstan,,,,,,,,,,,,,44.5,43.6,42.9,43.3,42.8,,,43.1,42.5,
418,Lao People's Democratic Republic,20.3,,,,,,,,,,,,,,,32.1,,,,,,
428,Latvia,,,51.8,,54.1,53.1,53.3,53.8,51.8,52.7,53.1,52.5,53.1,53.3,53.2,53.4,52.8,52,52.7,54.1,54.2,54.5
422,Lebanon,,,,,,14.2,,,,,,,,,,,,,,,,
426,Lesotho,,,,,,,,51.6,,51,,,,,,,,,,,,
430,Liberia,,,,,,,,,,,,,,,,,,,,,24.1,
434,Libyan Arab Jamahiriya,,,,,,,,,,,,15.8,,,,,,,,,,
438,Liechtenstein,,,,,,,,,,,38.7,38.7,39.1,38.9,39.1,39.4,,,,43.7,43.8,
440,Lithuania,55.4,54.3,53.5,53.4,52.4,52.7,52.4,51.9,52.3,52,53.2,52.7,52.6,53.2,53.3,53,52.9,53,,54.3,54.4,53.6
442,Luxembourg,,,,,,,,,,,,,,40.6,41.9,42.4,43.2,43.8,43.3,43.7,44,43.9
450,Madagascar,,,,30.8,,,,,,,,,,37.2,,37.7,,,,,35.4,
454,Malawi,10.5,10.4,10.6,10.6,10.8,11.3,,,,,,,,,,,,,,,,
458,Malaysia,,35.3,,,,35.2,35.3,34.9,35.4,35.4,37.9,37.2,37.3,37.9,38.3,38.5,38.7,39,39.2,39.1,39.3,
462,Maldives,15.8,,,,,32.4,,,,,40.6,,,,,,30,,,,40.5,
466,Mali,,,,,,,,27.3,,,,,,,34.6,,,,,,,
470,Malta,,,,,28.4,28.7,29.4,29.8,30.4,31,32.7,31.2,34.3,33.5,33.1,33.8,34.6,35.7,35.9,36.4,37.4,37.5
584,Marshall Islands,,,,,,,,,,29.3,,,,,,,,,,,,
474,Martinique,45.4,,,,,,,,,48.1,,,,,,,,,50.8,,,
478,Mauritania,,,,,,,,,,,35.8,,,,,,,,,,,
480,Mauritius,37.4,36.1,36.6,36.9,36.4,37.1,37.1,37.4,38.2,38.4,38.6,39,38.1,38.4,37.5,36.9,37.2,37.2,37,37,37.7,37.9
484,Mexico,,36.5,,34.9,,36.1,36.2,36.3,36.4,36.4,37.3,37.3,37.5,36.9,37.5,39.1,39.3,39.4,39.4,39.7,39.4,39.6
492,Monaco,,,,,,,,,,,39.2,,,,,,,,,,,
496,Mongolia,,,,48.5,47.3,46.2,47.1,46.6,47,46.9,48.6,48.9,49.9,49.3,51.2,51.2,52,51.2,51.1,52.6,52.7,
499,Montenegro,,,,38.7,39.8,40.1,41.7,42.4,42.4,43.2,44,44.3,,,,43.4,,,,46.3,,
500,Montserrat,,43.4,,,,,,,,,,,,,,,,,,,,
504,Morocco,,,,,20.9,,,,,,,,22.1,23.2,22.9,22.8,21,20.7,20.8,20.6,21.1,
508,Mozambique,11.4,,,,,,,,,,,,,,,,,,,,,
104,Myanmar,30.7,,,,,33.6,35.2,,35.7,,,,,,,,,,,,,
516,Namibia,,,,,,,,,,,42.8,40.7,,,41.4,,,,,,,
524,Nepal,,,,,,,,,,15.1,,14,,,,,,,,,,
528,Netherlands,37.7,38.6,40.1,41,41.4,41.7,42,42.7,43,43.5,43.9,44.3,45,45.7,45.7,46.2,46.7,47.3,47.7,47.8,48.2,48.4
530,Netherlands Antilles,,,44,44.6,45.9,44.9,45.8,47,47,,49.9,49.7,49.8,50.2,52.2,51.9,51.2,51.8,51,,51.9,52.4
540,New Caledonia,,,,,,,40.9,,,,,,,,,,,,,,,
554,New Zealand,47.8,48.3,48.7,48.5,,,,49.2,49.5,49.9,49.8,50,50,50.6,50,50,50.1,49.9,50.2,50.5,50.2,50.2
558,Nicaragua,,,,,,,,,,,,,,39.5,38.6,38.3,38.6,38.1,,,,
562,Niger,24.7,,,,,,,,,,,,,,,25.4,27.2,30.4,36.1,,,
566,Nigeria,,,,,,,,,,19,18.6,19.3,20.1,20.8,21,21.1,,,,,,
570,Niue,,,,,,,,,,,,43.1,,,,,,,,,,
580,Northern Mariana Islands,44,,,,,43.9,,,,,,,,,,,,,,,,
578,Norway,47,47.5,47.5,47.8,47.7,47.7,47.8,48,48.1,48.3,48.2,48.3,48.9,49.1,49.2,49,49.3,49.2,49.1,49.4,49.3,49.3
512,Oman,18.7,19.2,20.3,20.9,20.2,20.9,21.9,22,22.6,23.4,24.5,25.3,,,,,,,21.9,,,
586,Pakistan,7.7,9.5,10.2,9.5,9.5,8.8,8.8,12.2,9.8,9.9,13,13,13.6,13.6,13.9,13.9,13.4,13.2,12.6,,,
585,Palau,39.5,,,,,42.2,,,,,39.6,,,,,,,,,,,
