CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,,,,,,,,,,,,,,14.3,,,,,24,,34.3,38.6,
8,Albania,,,,,,,,,,,99.1,,98,,,99.8,,,,99.3,,,
12,Algeria,,,77,,,,,,,,92.6,,95.9,,,,95.2,,,,,,
24,Angola,,,,,,,22.5,,,,,,,,,,,47.3,,,,,
28,Antigua and Barbuda,,,,,,,100,,100,,99.9,100,,,100,99.9,99.9,100,100,,,,
32,Argentina,,,95.8,,,,,97.2,97.5,97.5,,,98.9,98.7,,99.1,99.4,99.4,94.8,97.9,95,,
51,Armenia,99.7,,,,,,,96.4,,97.3,96.8,,,,,97.8,,99.9,,,99.5,,
36,Australia,,100,,,,,,,,100,,,,,,,,,,,,,
40,Austria,,,100,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,97.3,,,,,,,,99.8,,84.1,88,,,,,88,,,,99.4,,
44,Bahamas,99,,,,,,,,,,99,,,,,,99,99,,,,,
48,Bahrain,,,,,,97.6,,,,,,,,,,,,,97.4,,,,
50,Bangladesh,,,,,9.5,,,8,,,12.1,11.6,,13.9,13.2,,20.1,18,,,26.5,31.7,
52,Barbados,,,,,,100,,,,91,98,,,100,100,100,100,100,,,,,
112,Belarus,,,,,,,,,,99.9,,,99.9,,99.9,100,,,99.9,99.9,99.9,,
84,Belize,,76.9,,,,,,,,83.8,,,,,,,95.8,94.6,94.9,93.5,94.3,,
204,Benin,,,,,,,59.8,,,,,65.5,,,,,74,,,,,,84.1
64,Bhutan,,,,,14.9,,,,,,23.7,,,56.1,,,,71.4,,,64.5,,
68,Bolivia,,,,,47.2,,,,59.3,,68.8,,65.1,60.8,,,,,71.1,,,,
70,Bosnia and Herzegovina,,97.4,,,,,,,,,99.6,99.8,99.8,,99.9,,99.6,,,,,,
72,Botswana,,,,,,,87,,,,94.2,,,,,,,94.6,,,,,
76,Brazil,,69.5,,,,,87.6,,,,,,,,,,97,,,,,,
96,Brunei Darussalam,,,,,98,,,,,99,,,,,,,,,,99.9,,,
100,Bulgaria,99.1,99.5,99.8,99,99,98.9,99.9,99.9,99.9,99,99.8,98.9,99.2,99.2,99.4,99.4,99.4,99.6,99.6,,99.5,,
854,Burkina Faso,,,,41.5,,,,,,31,,,,37.8,,,53.5,,,,65.9,,
108,Burundi,,,,,,,,,,,25.2,,,,,33.6,,,,,60.3,,
116,Cambodia,,,,,,,,,34,,31.8,,,,,43.8,,,,,71,,
120,Cameroon,,63.8,,,,,,,58.2,,60,,,,61.8,,63,,,,,63.6,
124,Canada,,,,,,98,,,,,,98.3,,,,,,100,,,,,
132,Cape Verde,,,,,,54,,,88.5,,,,,,,77.5,,,,,,,
140,Central African Republic,,,,,,45.9,,,,,44.1,,,,,,53.4,,,43.7,53.8,,
148,Chad,,,,,,,,15,,,16.3,,,,14.4,,,,,,22.7,,
152,Chile,,,,99.4,99.5,99.5,99.6,99.6,99.7,,,99.8,,,99.8,99.8,99.8,99.7,99.9,99.8,,,
156,China,94,93.7,84.1,83.6,90.4,89.3,93.1,93.8,,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,,
170,Colombia,80.6,,,,,84.6,,,,,86.4,,,,,90.7,,,,,94.8,99.3,
174,Comoros,,,,,,,51.6,,,,61.8,,,,,,,,,,,,
178,Congo,,,,,,,,,,,,,,,,83.4,,,,,,,94
184,Cook Islands,,99,,,,,,,100,,,98,,,,98,,,100,,,,
188,Costa Rica,,,98,,,,,,98,98.2,,98,,,98.5,,,,99.1,99.2,99.3,99.1,
384,Cote d'Ivoire,,,,,45.4,,,,,47.1,62.8,,,,68,55.1,56.8,,,,,,59.4
191,Croatia,99.8,,,,,99.9,,,99.8,,99.9,,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,99.9,,
192,Cuba,,,,99.8,,,,,,99.9,,99.9,,,99.9,99.9,,99.9,99.9,99.9,99.9,99.9,
203,Czech Republic,100,100,100,100,100,100,100,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,99.9,,
180,Democratic Republic of the Congo,,,,,,,,,,,,60.7,,,,,,74,,,80.4,,
262,Djibouti,,,,,,,,,,,,,,60.6,,,92.9,,,,,,
212,Dominica,,,,,,,,,,99.9,100,,,100,100,99,,94,100,,,,
214,Dominican Republic,,92.4,,,,,95.5,,,,97.6,,98.7,,,,95.5,97.8,,,,,
218,Ecuador,,,,,98.7,,,,,99.1,,,,,98.2,,,,,,,,
818,Egypt,,36.5,40.7,,,46.3,,56.4,55.2,,60.9,,,69.4,,74.2,,,78.9,,,,
222,El Salvador,,,,87.4,,,,,90.4,,,,,92.4,,,,,95.5,,,,
226,Equatorial Guinea,,,,,5,,,,,,64.6,,,,,,,,,,,,
232,Eritrea,,,,,,20.6,,,,,,,28.3,,,,,,,,,,
233,Estonia,,,99,99.1,99.3,99.5,99.6,99.5,99.6,99.6,99.7,99.7,99.6,99.7,99.8,99.8,99.8,,,,,,
231,Ethiopia,,,,,,,,,,,5.6,,,,,5.7,,,,,,10,
242,Fiji,,,,,,,,,100,,99,,,,,,,,99,,99.7,,
246,Finland,,,,100,,,,,,,,,,,,,,,,,,,
250,France,,,,99,,,,,,,,,,,,,,,,,,,
266,Gabon,,,,,,,,,,,85.5,,,,,,,,,,,,
270,Gambia,44.1,,,,,,,,,,54.7,,,,,,56.8,,,,56.6,,
268,Georgia,96.6,91.3,91.1,90.8,,,,,96,96.4,95.7,96.7,97.4,99,,98.3,,,,99.9,,,
288,Ghana,,,,43.8,,,,,44.3,,,,,47.1,,,49.7,55.2,57.1,,,68.4,
308,Grenada,,,,,,,,,99,99,100,,,,,100,,98.8,,,,,
320,Guatemala,,,,,,34.8,,,,40.6,,,41.4,,,,,,,51.5,,,
324,Guinea,,,30.5,,,,,,,34.8,,,,55.5,,38,,46.1,,,,,
624,Guinea-Bissau,,,,,,25,,,,,34.7,,,,,,38.8,,,,43,,
328,Guyana,,,,,,,,95,,,85.6,,,,,,,83.3,,91.9,,,
332,Haiti,,,,,,20.6,,,,,23.8,,,,,,26.1,,,,,,
340,Honduras,,,46.9,,,,54.9,,,,,55.7,,,,,66.9,,,,,,
348,Hungary,99.4,99.4,99.5,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6,99.7,99.6,99.5,,99.1,,
356,India,,,,34.2,,,,,,42.3,42.5,,,,,,46.6,,52.3,,,,
360,Indonesia,,31.7,40.7,,36.5,49.7,,43.2,56,,66.9,,68.4,66.3,,,,79.4,,,,,
364,Iran,,,,,,,,86.1,,,89.6,,,,,97.3,,,,,,,
368,Iraq,,,,,,,,,,,72.1,,,,,,88.5,79.7,,,,,
372,Ireland,,,,,,,,,,,,,,100,,,,,,,,,
388,Jamaica,,,,,,,,94.6,,,,,96.9,,,96.7,,,98.3,,,,
392,Japan,100,,,,,,100,,,,,,,,,,,,,,,,
400,Jordan,87.2,,,,,,,96.7,,,,,99.5,,,,,99.1,,,,,
398,Kazakhstan,99,,,,,99.6,,,,99.1,98.3,,,,,,99.8,,99.8,,100,,
404,Kenya,,,,45.4,,,,,44.3,,,,,41.6,,,,,,43.8,,,
296,Kiribati,,,,,72,,,,85,,,,,,,63,,,65,79.8,,,
408,"Korea, Democratic People's Republic of",,,,,,,,,,,96.7,,,,97.1,,,,,100,,,
410,"Korea, Republic of",98,,,,,,,100,,,,,,,,,,,,,,,
414,Kuwait,,,,,,,98.1,,,,,,,,,,,100,,,,,
417,Kyrgyzstan,98.9,,,,,,,98.1,,,98.6,,,,,,97.6,,98.5,,98.3,,
418,Lao People's Democratic Republic,,,,,,,,,,,19.4,,,,,14.6,20.3,,,,,,
428,Latvia,100,100,100,100,100,100,100,100,100,100,100,99,100,99,100,100,100,,,,,,
422,Lebanon,,,,,,,98,,,,,,,,98,,,,,,,,
426,Lesotho,,,,60.9,,,,,,,59.8,,,,55.4,,,,,61.5,,,
430,Liberia,,,,,,,,,,,50.9,,,,,,,46.3,,,,,
434,Libyan Arab Jamahiriya,,,,,,94.4,,,,,,,,,,,,,99.8,,,,
440,Lithuania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,
442,Luxembourg,,,,,,,,,,,,,,99.9,,,,,,,,,
450,Madagascar,,,57,,,,,47.3,,,46.2,,,,51.3,,,,,43.9,,,
454,Malawi,,,54.8,,,,,,,,55.6,,60.5,,56.1,,53.6,,,,71.4,,
458,Malaysia,92.8,,,,,96.1,,,96.2,,96.6,96.8,97,97.4,,98,,98.6,,98.6,,,
462,Maldives,,,,,90,,,,,,,70.3,,,84,,,,,94.8,,,
466,Mali,,,,,,,40,,,,,40.6,,,,,49,,,,,,
470,Malta,,,,98,,,,,,,,,,,,,,,,,,,
584,Marshall Islands,,,,,,,,,94.9,,,,,,,,,86.2,,,99,,
478,Mauritania,,40,,,,,,,,,,56.9,,,,,,60.9,,,,,
480,Mauritius,,,,,97,,,,98.6,98.5,,,,98.4,,,,,,,,,
484,Mexico,83.8,,,,,,,85.7,,,,,,,,,93.4,93.7,,95.3,,,
583,Micronesia,,,,,,,,,,92.8,,87.7,,,,,,,92,100,,,
496,Mongolia,,,,,,,,,93.6,,96.6,,,97.3,,99.2,,,99.4,,98.8,99.8,
499,Montenegro,,,,,,,,,,,,,99.7,,,,98.8,100,,100,,,
504,Morocco,,,31,,,39.6,,,,,,,,,62.6,,,,,,,73.6,
508,Mozambique,,,,,,,,44.2,,,,,,47.7,,,,,55.3,,,,
104,Myanmar,,46.3,,,,,,56.4,,,,57,,,,,,63.9,,,70.6,,
516,Namibia,,,68.2,,,,,,,,75.5,,,,,,,81.4,,,,,
520,Nauru,,,,,,,,,,,,,,,,,,97.4,,,,,
524,Nepal,,7.4,,,,,9,,,,11.9,10.9,,,15.8,,18.7,,,,,36,
528,Netherlands,,,,,,,,,100,,,,,,,,,,,,,,
554,New Zealand,,,,,95,100,,,,,,,,,,,,,,,,,
558,Nicaragua,,,,61,,,,,64.6,,,66.9,,,,,,73.7,,,,,
562,Niger,,,14.9,,,,,,17.6,,15.7,,,,,,17.7,,,,,,
566,Nigeria,30.8,,,,,,,,,41.6,,,,35.2,,,,,38.9,,,,
570,Niue,99,,,,,,100,,,,,,100,,,,100,,100,,,,
512,Oman,,,,,,91.1,,,,,94.7,,,,,98,98,98.6,98.6,98.6,,,
586,Pakistan,,18.8,,,,,,18,,18,,,23,,,31,,38.8,,,,43,
585,Palau,99,,,,,,,,100,,,,100,,,,,100,100,,100,,
591,Panama,,,85.8,86.9,88,88.3,89.9,89.5,90,,,,,92.5,91.3,91.1,91,91.5,,88.5,,,
598,Papua New Guinea,,,,,,,53.2,,,,,,,,,,53,,,,,,
600,Paraguay,66,,,,,,60.8,,60.8,,,,,,77.1,,,,81.9,,,,
604,Peru,,,52.5,,,,56.4,,,,59.3,,,,71.1,,71,,,82.5,83.8,85,
608,Philippines,,,,52.8,,,,,56.4,,58,,,59.8,,,,,62.2,,,,
616,Poland,99.6,99.6,99.6,99.6,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.9,,,,,,,
620,Portugal,,,,,,,,,99.7,,99.7,,,,,,,,,,,,
634,Qatar,,,,,,,98.2,,99,,,,,,,,,,,100,,,
498,Republic of Moldova,,,,,,,,,,,,,,,,99.5,,,99.5,,99.2,,
642,Romania,99.8,99.9,99.7,98.9,99,99.1,99,98.3,99,99,99,96.5,98.5,,98.9,98.1,98.2,98.8,98.7,,98.5,,
643,Russian Federation,99.2,99.2,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.2,99.3,99.3,99.4,99.3,99.4,99.5,99.6,99.6,,99.7,,
646,Rwanda,,,25.8,,,,,,,,31.3,,,,,38.6,,,52.1,,69,,
659,Saint Kitts and Nevis,,,,,,,,,99.4,,99.4,,,,100,100,,100,100,,,,
662,Saint Lucia,,,,,,,,99.7,,,100,,,99,100,100,97.9,100,,,,,
670,Saint Vincent and the Grenadines,,,,,,,,,,99.3,100,100,,,,100,,100,99.2,,,,
882,Samoa,76,,,,,,,,,,,,,,,,,,,80.8,,,
678,Sao Tome and Principe,,,,,,,,,,,78.6,,,,,,80.7,,,81.7,,,
682,Saudi Arabia,,,,,,,91.4,,,,,,,,,,,,97,,,,
686,Senegal,,,,47.2,,,,46.6,,48.3,57.8,,58,,,51.9,,,,,,65.1,
688,Serbia,,,,,,,,,,,,,98.1,,,,99,,,,99.7,,
694,Sierra Leone,,,,,,,,,,,41.7,,,,,43.2,,,42.4,,62.5,,
702,Singapore,,,,,,,,,100,,,,,,,,,,,,,,
703,Slovakia,100,100,100,100,100,100,100,100,100,100,100,99.4,99.4,,99.5,99.5,99.5,99.2,99.5,,99.2,,
705,Slovenia,99.6,99.6,99.5,99.7,99.7,99.7,99.8,99.7,99.8,99.8,99.9,99.9,99.8,99.9,99.8,99.9,99.9,99.9,99.9,,99.9,,
90,Solomon Islands,,,,,83.5,,,,,85,,,,,,,,85.5,,,,,
706,Somalia,,,,,,,,,,32.9,,,24.8,,,,33,,,,,,
710,South Africa,,,,,,82,,,84.4,,,,,91.2,,,,,,,,,
728,South Sudan,,,,,,,,,,,,,,,,,9.7,,,,19.4,,
144,Sri Lanka,,,,94.1,,,,,,,96,,,,,,,98.6,,,,,
275,State of Palestine,,,,,,,94.9,,,,97.4,,,,98.3,,98.9,,,,,,
729,Sudan,,,,,,,,,,,,,,,,,28.8,,,,23.1,,
736,Sudan (former),,,,,,,,,,,,,,,,,23.2,,,,21,,
740,Suriname,,,,,,,,,,,84.5,,,,,,89.8,,,,,,
748,Swaziland,,,,,56,,,,,,70,,74,,,,,69,,,82,,
760,Syrian Arab Republic,,,,76.9,,,,,,,,,,,,,93,,,96.2,,,
