CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
8,Albania,,,,,,,,,,,,99.4,,,,,,,98.8,,,98.8
12,Algeria,,,,,,,,,,,,,90.1,,,,91.8,,,,,
24,Angola,,,,,,,,,,,,72.2,,,,,,,,,,73
32,Argentina,,98.3,,,,,,,,,,98.9,,,,,,,,,,99.2
51,Armenia,,,,,,,,,,,,99.8,,,,,,,,,,99.8
533,Aruba,,,,,,,,,,,99,,,,,,,,,,99.1,
31,Azerbaijan,,,,,,,,,,99.9,,,,,,,,100,,100,,
48,Bahrain,,96.9,,,,,,,,,,97,,,,,,,,,98.2,
50,Bangladesh,,44.7,,,,,,,,,,63.6,,,,,,,,,,78.7
112,Belarus,,,,,,,,,,99.8,,,,,,,,,,99.8,,
84,Belize,,76.4,,,,,,,,,,,,,,,,,,,,
204,Benin,,,39.9,,,,,,,,,,45.3,,,,42.4,,,,,
64,Bhutan,,,,,,,,,,,,,,,,74.4,,,,,,
68,Bolivia,,,93.9,,,,,,,,,97.3,,,,,,99.4,99.1,99.4,,
70,Bosnia and Herzegovina,,,,,,,,,,,99.8,,,,,,,,,,,99.7
72,Botswana,,89.3,,,,,,,,,,,,94,,,,,,,,95.2
76,Brazil,,,,,,,,,,,94.2,,,,96.8,,97.6,97.8,97.8,98.1,97.5,
96,Brunei Darussalam,,98.1,,,,,,,,,,98.9,,,,,,,,,,99.7
100,Bulgaria,,,,,,,,,,,,98.2,,,,,,,,,,97.9
854,Burkina Faso,,20.2,,,,,19.4,,,,,,,31.2,,33,,39.3,,,,
108,Burundi,53.6,,,,,,,,,,73.3,,,,,,,,88.9,,,
116,Cambodia,,,,,,,,,76.3,,,,,,83.4,,,,87.5,87.1,,
120,Cameroon,,,,,,,,,,,83.1,,,,,,,83.1,,,80.6,
132,Cape Verde,88.2,,,,,,,,,,,,,,97.1,,,,,,,98.4
136,Cayman Islands,,,,,,,,,,,,,,,,,,98.9,,,,
140,Central African Republic,,,,,,,,,,,60.8,,,,,,,,,,,65.6
148,Chad,,,,17.3,,,,,,,37.6,,,,41.7,,,,,,,47.9
152,Chile,,,98.4,,,,,,,,,,99,,,,,,99.2,98.9,,
156,China,94.3,,,,,,,,,,98.9,,,,,,,,,,99.6,
446,"China, Macao Special Administrative Region",,,,,,,,,,,,99.6,,,,,99.6,,,,,99.7
170,Colombia,,,,90.5,,,97,,,,,,,,98,98,97.9,98,98,97.9,98.1,98.2
174,Comoros,,,,,,,,,,,80.2,,,,,,,,,,,86
188,Costa Rica,,,,,,,,,,,97.6,,,,,,,,,,,98.3
384,Cote d'Ivoire,,,,,,,,,47.1,,60.7,,,,,,,,,,,67.5
191,Croatia,,99.6,,,,,,,,,,99.6,,,,,,,,,,99.6
192,Cuba,,,,,,,,,,,,,100,,,,,,,,,100
196,Cyprus,,,99.6,,,,,,,,,99.8,,,,,,,,,,99.8
180,Democratic Republic of the Congo,,,,,,,,,,,,70.4,,,,,,65.8,,,,
214,Dominican Republic,,,,,,,,,,,,,94.2,,,,,95.8,,,96.8,97
218,Ecuador,96.2,,,,,,,,,,,96.4,,,,,,95.4,,96.8,98.7,98.7
818,Egypt,,,,,,,73.2,,,,,,,,,84.9,84.9,,,,87.5,
222,El Salvador,,,84.9,,,,,,,,,,,,89,,95,93.6,96,95,96,
226,Equatorial Guinea,,,,,,,,,,,97.1,,,,,,,,,,,98.1
232,Eritrea,,,,,,,,,,,,,77.9,,,,,,,,,90.1
233,Estonia,,,,,,,,,,,99.8,,,,,,,,,,,99.8
231,Ethiopia,,,,,33.6,,,,,,,,,,49.9,44.6,,55,,,,
266,Gabon,,,,93.2,,,,,,,,,,,96.7,,,,,,,97.9
270,Gambia,,,,,,,,,,,52.6,,,,,,,,,,,68.1
268,Georgia,,,,,,,,,,,,,99.8,,,,,,,,,99.8
288,Ghana,,,,,,,,,,,70.7,,,,,,,,,,85.7,
300,Greece,,99,,,,,,,,,,98.9,,,,,,,,,,99.4
312,Guadeloupe,,,,,99.6,,,,,,,,,,99.9,,,,,,,99.9
320,Guatemala,,,,,76,,,,,,,,82.2,,,,,,,,,87.4
324,Guinea,,,,,,,27.7,,,,,,,47.1,,,,,,,31.4,
624,Guinea-Bissau,,,,,,,,,,,59.5,,,,,,,,,,,73.2
328,Guyana,,,,,,,,,,,,,,,,,,,,93.1,,
332,Haiti,,,,,,,,,,,,,,81.6,,,72.3,,,,,
340,Honduras,,,,,,,,,,,,88.9,,,,,,93.9,,,95.2,95.9
348,Hungary,,,,,99.1,,,,,,,,,,99,,,,,,,98.9
356,India,,61.9,,,,,,,,,,76.4,,,,,81.1,,,,,
360,Indonesia,96.2,,,,,,,,,,,,,,98.7,,96.7,,99.5,99.5,,98.8
364,Iran,,87,,,,,93,,,,,,,,,97.4,96.6,,98.7,,,
368,Iraq,,,,,,,,,,,84.8,,,,,,,,,,,82.4
