CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,20,19,22,25,40,41,42,38,31,31,27,37,35,39,48,50,53,55,59,60,62,62
8,Albania,88,80,87,76,90,91,92,95,89,85,95,95,96,93,96,97,95,97,98,97,99,99
12,Algeria,83,85,86,87,88,89,90,92,84,83,80,83,81,84,81,83,91,92,88,92,95,95
20,Andorra,,,,,,,,90,90,97,97,97,98,96,98,94,91,94,98,98,99,99
24,Angola,38,39,39,47,44,46,62,78,62,46,41,72,74,62,64,45,48,88,79,77,93,88
28,Antigua and Barbuda,89,87,99,99,91,93,99,93,99,99,95,97,99,99,97,99,99,99,99,99,98,99
32,Argentina,93,99,92,95,96,99,99,93,95,97,91,89,96,97,98,99,97,98,97,99,99,93
51,Armenia,,,93,95,95,96,89,92,94,92,92,93,91,94,92,94,92,92,94,96,97,97
36,Australia,86,86,86,86,86,87,87,85,82,88,91,92,93,94,93,94,94,94,94,94,94,94
40,Austria,60,60,60,60,60,60,87,90,78,65,75,79,78,79,74,75,80,79,83,76,76,76
31,Azerbaijan,,,52,49,60,64,65,66,67,68,67,68,66,67,67,67,65,66,66,67,67,67
44,Bahamas,86,93,94,88,88,90,92,93,92,86,93,94,94,90,89,85,88,96,90,98,94,90
48,Bahrain,87,88,87,90,93,95,95,94,99,94,98,98,99,99,99,99,99,99,99,99,99,99
50,Bangladesh,65,68,69,74,78,79,69,72,65,71,72,77,65,69,81,94,92,95,96,98,94,96
52,Barbados,87,92,90,92,97,92,99,92,97,86,94,93,91,90,98,93,92,75,94,94,85,93
112,Belarus,,,94,96,97,93,96,97,98,98,98,99,99,99,99,99,97,99,99,99,99,99
56,Belgium,85,67,87,70,78,85,73,76,80,82,82,82,82,82,82,88,92,92,93,95,95,95
84,Belize,86,76,69,80,82,83,81,85,84,82,96,94,88,96,97,95,99,96,96,97,98,98
204,Benin,79,60,70,67,78,65,60,66,67,69,70,68,66,65,63,61,66,70,66,72,69,72
64,Bhutan,93,89,86,84,81,85,85,84,71,77,78,78,78,88,87,93,90,95,99,94,95,95
68,Bolivia,53,54,57,57,64,58,61,51,65,79,84,88,91,96,90,89,88,83,87,86,79,84
70,Bosnia and Herzegovina,,,52,48,57,53,70,86,84,83,80,92,89,84,88,90,85,96,84,93,91,89
72,Botswana,87,88,88,88,88,89,89,89,89,90,91,91,92,92,93,93,94,94,94,94,94,94
76,Brazil,78,85,91,85,77,87,80,99,94,98,99,99,95,99,99,99,99,99,99,99,99,97
96,Brunei Darussalam,99,96,92,99,99,99,99,98,99,94,99,99,99,98,99,98,97,97,99,99,94,91
100,Bulgaria,99,98,92,88,93,94,95,93,95,96,89,90,92,96,95,96,96,96,96,96,97,95
854,Burkina Faso,79,69,60,50,45,43,40,41,45,52,59,69,64,76,78,84,88,94,94,94,63,63
108,Burundi,74,74,69,69,42,80,79,77,70,75,76,76,77,77,78,87,92,88,84,91,92,92
116,Cambodia,34,39,33,36,50,62,56,50,54,63,65,59,52,65,80,79,78,79,89,92,93,93
120,Cameroon,56,48,37,32,38,46,39,43,47,46,49,51,53,61,64,68,73,74,80,74,79,76
124,Canada,89,92,94,96,97,96,97,96,96,96,96,95,95,95,94,94,94,94,95,96,97,98
132,Cape Verde,79,76,82,88,87,85,84,83,84,85,86,88,89,90,91,92,94,95,96,97,97,96
140,Central African Republic,82,57,32,42,52,46,44,42,37,37,36,35,42,49,55,62,62,62,62,62,62,62
148,Chad,32,28,25,19,24,26,22,30,20,30,28,26,25,23,16,27,39,31,27,36,33,28
