CountryCode,Country,1990,2000,2010,2012
438,Liechtenstein,38.89,43.09,43.11,43.11
440,Lithuania,1.95,11.56,17.24,17.25
442,Luxembourg,15.4,33.31,39.65,39.65
450,Madagascar,1.95,2.55,4.47,4.72
454,Malawi,15.02,16.47,16.47,18.25
458,Malaysia,12.81,13.72,13.93,13.93
462,Maldives,,,,
466,Mali,2.6,2.6,6.05,6.05
470,Malta,0.31,1.48,2.2,2.2
584,Marshall Islands,0.05,0.67,0.71,0.71
474,Martinique,10.29,10.35,10.4,10.4
478,Mauritania,1.13,1.19,1.2,1.2
480,Mauritius,0.41,0.72,0.73,0.73
175,Mayotte,0.42,1.22,1.26,1.27
484,Mexico,2.32,8.3,13.67,13.69
583,Micronesia,0.06,0.09,0.09,0.09
492,Monaco,0.67,0.95,98.4,98.4
496,Mongolia,4.1,13.45,13.78,13.78
499,Montenegro,12.25,12.41,12.79,12.79
500,Montserrat,0.55,2.45,2.45,2.45
504,Morocco,0.16,0.57,2.47,19.92
508,Mozambique,13.77,13.77,15.06,16.4
104,Myanmar,2.45,3.05,5.97,5.97
516,Namibia,11.21,19.2,39.21,42.58
520,Nauru,,,,
524,Nepal,7.7,17.01,16.38,16.38
528,Netherlands,14.41,30.15,31.48,31.48
530,Netherlands Antilles,1.37,1.59,1.59,1.59
540,New Caledonia,1.4,2.49,30.5,30.5
554,New Zealand,16.1,19.7,21.32,21.32
558,Nicaragua,11.89,26.98,32.46,32.47
562,Niger,7.07,7.07,8.52,16.72
566,Nigeria,11.34,12.65,13.82,13.82
570,Niue,,1.87,1.87,1.87
580,Northern Mariana Islands,0.08,0.12,19.95,19.95
578,Norway,5.26,6.77,12.01,12.23
512,Oman,0,9.31,9.31,9.31
586,Pakistan,9.81,9.85,10.56,10.56
585,Palau,0.45,18.44,21.42,28.2
591,Panama,11.1,11.98,14.11,14.11
598,Papua New Guinea,0.95,1.4,1.41,1.41
600,Paraguay,2.91,5.05,6.4,6.4
604,Peru,4.63,7.74,17.65,18.3
608,Philippines,2.88,4.99,5.06,5.06
616,Poland,15.49,21.94,34.81,34.81
620,Portugal,5.43,13.95,14.74,14.73
630,Puerto Rico,4.44,4.58,4.59,4.59
634,Qatar,0.89,1.4,2.42,2.42
498,Republic of Moldova,1.16,1.94,3.82,3.82
638,Reunion,1.23,2.24,23.5,23.5
642,Romania,18.13,18.03,19.1,19.23
643,Russian Federation,4.82,10.81,11.3,11.35
646,Rwanda,9.89,9.89,10.55,10.55
654,Saint Helena,0.09,29.66,31.11,31.11
659,Saint Kitts and Nevis,0.77,0.77,0.77,0.77
662,Saint Lucia,2.04,2.04,2.49,2.49
666,Saint Pierre and Miquelon,0.05,3.49,3.49,3.49
670,Saint Vincent and the Grenadines,1.23,1.23,1.23,1.23
