CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
818,Egypt,11,18,45,17,20,57,64,75,70,67,62,61,66,70,72,73,65,65,63,65,64,63
222,El Salvador,70,70,79,110,140,95,70,70,69,68,68,68,69,70,73,76,80,84,88,92,96,110
226,Equatorial Guinea,29,34,25,28,31,25,25,29,32,,,,,,44,,,,71,51,54,61
232,Eritrea,48,,62,170,240,340,84,140,130,100,120,49,50,85,78,65,56,68,56,55,55,58
233,Estonia,110,83,70,82,88,82,84,87,93,86,93,88,84,82,86,84,81,95,91,90,77,89
231,Ethiopia,50,32,30,,44,11,17,23,26,26,33,35,40,44,47,49,50,54,61,66,69,72
242,Fiji,28,32,33,27,35,34,35,32,33,41,33,44,38,50,39,41,37,33,39,56,79,92
246,Finland,89,93,88,71,75,92,92,83,93,88,87,84,92,89,78,87,74,80,88,130,78,78
250,France,80,76,77,88,87,86,80,77,72,78,83,81,81,83,76,78,82,99,70,69,79,97
258,French Polynesia,97,67,99,85,90,,82,87,100,98,71,77,86,73,90,96,110,100,79,84,65,100
266,Gabon,45,41,37,35,34,33,25,34,29,28,,36,28,28,32,31,38,49,60,41,49,64
270,Gambia,,,,,,44,51,54,59,54,,,58,57,60,54,46,47,49,48,44,45
268,Georgia,10,,15,27,,12,27,65,49,38,36,35,43,44,46,58,64,65,72,82,84,84
276,Germany,88,83,88,91,86,85,86,87,88,91,91,77,84,88,89,90,90,91,79,85,89,96
288,Ghana,28,29,28,32,62,30,36,36,38,35,37,42,42,44,45,47,50,53,62,68,70,78
300,Greece,95,77,89,,,85,87,72,110,99,82,63,78,83,100,96,91,98,93,87,73,100
304,Greenland,,,,,,,,,,,,,,,,,,,,62,110,110
308,Grenada,0,23,67,0,67,89,0,45,45,110,0,,23,46,46,,23,69,120,120,93,47
316,Guam,,,76,83,110,,,,,,85,110,95,43,93,110,67,73,110,110,96,68
320,Guatemala,57,39,37,36,36,44,45,40,37,38,38,31,37,33,41,41,43,37,38,33,37,34
324,Guinea,14,15,18,18,18,19,23,23,24,27,28,34,32,34,39,36,47,50,54,46,59,61
624,Guinea-Bissau,73,75,61,86,88,82,82,68,38,51,54,,61,62,66,61,71,,65,64,62,56
328,Guyana,26,21,28,14,41,45,48,62,46,56,55,53,72,75,71,74,83,70,77,91,85,85
332,Haiti,,57,,,,32,33,50,46,41,44,42,48,55,57,56,56,58,61,,62,64
340,Honduras,60,72,64,56,63,71,58,55,67,63,89,71,64,57,56,55,56,53,60,68,74,96
348,Hungary,90,84,86,88,85,88,91,91,90,85,81,85,88,91,91,82,84,83,81,77,90,72
352,Iceland,92,81,91,66,110,78,74,68,120,75,100,100,70,46,100,91,110,100,47,81,150,51
356,India,80,81,57,54,54,58,61,52,50,54,49,47,45,45,48,49,52,55,57,59,59,59
360,Indonesia,20,16,25,16,12,8.7,6,5.3,9.5,16,19,21,35,39,47,56,61,61,65,65,66,70
364,Iran,54,76,70,99,62,75,69,66,65,69,71,73,73,72,69,65,68,68,68,71,70,71
